产品网址：https://www.marching-power.com/sjm
产品结构：首页->产品中心->硅基芯片及模组系列->SJMOSFET

|产品名称|产品型号|功能描述|
|----|----|----|
|SJ MOSFET|无|无|

Part Number,VDSS(V),ID(A)@25°C,V(GS)th (V),RDS(on)(Ω)  @VGS=10V 25°C max,QG(nC),CFD,Package,Datasheet
MPSW60M041,600,66.0,2.5-4.5,0.041,140.0,-,TO-247,Download
MPSW60M043CFD,600,66.0,3-5,0.043,140.0,Y,TO-247,Download
MPSX60M082,600,41.0,2.5-4.5,0.082,72.0,-,TO-220F/TO-247,Download
MPSW60M086CFD,600,41.0,3-5,0.086,72.0,Y,TO-247,Download
MPSW60M115B,600,26.6,2-4,0.115,65.0,-,TO-247,Download
MPSW60M150B,600,21.4,2-4,0.15,50.0,-,TO-247,Download
MPSX60M160,600,20.0,2-4,0.16,38.5,-,TO-220F/TO-220/TO-262 TO-263/TO-247,Download
MPSX60M160CFD,600,20.0,3-5,0.16,42.0,Y,TO-220F/TO-263,Download
MPSX60M190B,600,17.6,2-4,0.19,40.0,-,TO-220F/TO-247,Download
MPSY60M190B,600,18.6,2-4,0.195,40.0,-,DFN8×8,Download
MPSA60M240,600,15.0,2-4,0.24,27.0,-,TO-220F,Download
MPSA60M250CFD,600,15.0,3-5,0.25,27.0,Y,TO-220F,Download
MPSX60M350B,600,10.9,2-4,0.35,22.6,-,TO-220F/TO-252,Download
MPSX60M370,600,11.0,2.5-4.5,0.37,20.0,-,TO-220F/TO-220/TO-251 TO-252,Download
MPSX60M600,600,8.0,2.5-4.5,0.6,13.4,-,TO-220F/TO-220/TO-251 TO-252,Download
