产品网址：https://www.marching-power.com/igbtdg
产品结构：首页->产品中心->硅基芯片及模组系列->IGBT单管

|产品名称|产品型号|功能描述|
|--|--|--|
|IGBT 单管|无|无|

Part Number,Vce(V),Ic(A)@100°C,Vcesat(V)@25°C typ,Eon(mJ),Eoff(mJ),Package,Datasheet
MPBX6N65ESF,650,6,1.4,0.129,0.129,TO-252/TO-263,Download
MPBX10N65EF,650,10,1.4,0.17,0.2,TO-220F/TO-220/TO-252,Download
MPBX15N65EF,650,15,1.45,0.28,0.3,TO-220F/TO-220/TO-263,Download
MPBX20N65EF,650,20,1.45,0.373,0.376,TO-220F/220/263/247/3P,Download
MPBW30N65E,650,30,1.36,0.56,0.65,TO-247,Download
MPGW40N65E,650,40,1.5,0.94,0.85,TO-247,Download
MPBW40N65E,650,40,1.5,0.94,0.85,TO-247,Download
MPBC40N65EH,650,40,1.5,0.81,0.85,TO-263,Download
MPBP40N65EH,650,40,1.5,0.81,0.85,TO-220,Download
MPBW40N65EH,650,40,1.5,0.81,0.85,TO-247,Download
MPGC50N65E,650,50,1.6,1.22,1.2,TO-263,Download
MPBW50N65E,650,50,1.6,1.22,1.2,TO-247,Download
MPBW50N65ES,650,50,1.54,1.17,1.74,TO-247,Download
MPBW50N65EH,650,50,1.54,1.14,1.26,TO-247,Download
AMPBW50N65E,650,50,1.6,1.2,1.12,TO-247,Download
