产品网址：http://www.szjincheng.com.cn/products_34.html
产品结构：root->保密检查-深圳市金城保密技术有限公司-为全国党政部门及港澳地区的党政系统提供保密产品、保密技术支持和服务

|产品名称|产品型号|功能描述|
|----|----|----|
|N9340B 手持式射频频谱分析仪|N9340B|无|
|OSCOR Green 绿色频谱分析系统|OSCOR Green|无|
|频谱分析系统|无|无|
|VPC-64 拉杆式视频观察仪|VPC-64|无|
|手持宽频射频检测系统 Delta V|Delta V|无|
|CPM-700 防窃听探测检查仪|CPM-700|无|
|Scanlock M3 反侦察探测器（10G、30G）|Scanlock M3|无|
|非线性节点探测系统 SB04|SB04|无|
|TD-2 电话机保密检查装置|TD-2|无|
|手持式无线视频接收机|无|无|
|专用无线电信号监测系统（俗称黑鸟）|无|无|
|DPA-7000 数字电话线路分析系统|DPA-7000|无|
|ETA-3 电话分析系统|ETA-3|无|
|TCM-03 线路检测系统|TCM-03|无|
|IC-R3 音视频接收机|IC-R3|无|
