产品网址：https://www.novastar-led.cn/index/products/csentry.html
产品结构：root->西安诺瓦星云科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|COEX 系列|MX6000 Pro/ MX2000 Pro、MX40 Pro / MX30 / MX20 / KU20、CX40 Pro|无|
|4K 带载|MCTRL4K (4K×2K)、MCTRL1600 (4K×2K)、MCTRLR5 (4K×1K)|无|
|1080P 带载|MCTRL700、MCTRL660 PRO、MCTRL660、MCTRL600|无|
|130 万带载|MCTRL300、MSD300|无|
|接收卡|CA 系列、Armor 系列、AT 系列、MRV 系列、DH 系列|无|
|软件|VMP 视觉管理平台、COB 屏体校正软件、专业逐点校正软件、智能配屏软件 SmartLCT|无|
|配件|光电转换器系列、监控类配件|无|
|分布式系统|MG420/MG421/MGT2000|无|
|视频拼接器|H20/H15/H9/H5/H2|无|
|可视化平台|银河管理平台、星河智控平台|无|
|视频切换器|D32、D12、N20/N10|无|
|控台|C5 Pro、C5、C3|无|
|多媒体服务器|ET4000/ET2000|无|
|视频控制器(工程版)|V2460 / V1260n / V1160 / V1060n / V960 / V760|无|
|视频控制器(租赁版)|K16|无|
|视频控制器(国际版)|VX1000 / VX600 / VX400、NovaPro UHD Jr|无|
|视频处理器|HDR Master 4K|无|
|软件系列|视频拼接软件 V-Can|无|
|配件|中控系统 Vunit 3000、智能中控 Vunit 2000、视频输入扩展器 VE7、视频分配器 4K UHD 1×4|无|
|LED 播控处理器|Taurus Ultra 系列|无|
|LED 多媒体播放器|Taurus 系列|无|
|LCD 多媒体播放器|LCB 系列|无|
|全场景信息发布平台|屏精灵|无|
|显示屏售前、施工、售后全流程服务云平台|屏老板|无|
|智慧门店一站式解决方案|飞舵|无|
|MLED Demura 系统|MLED 全自动 Demura 系统、MLED 点亮测试机、MLED 墨色检测分选机、MLED 墨色检测机|无|
|MLED 显示 ASIC 控制芯片|TBS6332/TBS6336|无|
|MLED 显示高速接口芯片|TBS614E/TBS614S|无|
