产品网址：https://www.novastar-led.cn/index/products/productlist.html?id=5
产品结构：root->西安诺瓦星云科技股份有限公司-MLED智能装备

|产品名称|产品型号|功能描述|
|--|--|--|
|COEX 系列|MX6000 Pro/ MX2000 Pro、MX40 Pro / MX30 / MX20 / KU20、CX40 Pro|无|
|MCTRL4K (4K×2K)|无|无|
|MCTRL1600 (4K×2K)|无|无|
|MCTRLR5 (4K×1K)|无|无|
|MCTRL700|无|无|
|MCTRL660 PRO|无|无|
|MCTRL660|无|无|
|MCTRL600|无|无|
|MCTRL300|无|无|
|MSD300|无|无|
|CA 系列|无|无|
|Armor 系列|无|无|
|AT 系列|无|无|
|MRV 系列|无|无|
|DH 系列|无|无|
|VMP 视觉管理平台|无|无|
|COB 屏体校正软件|无|无|
|专业逐点校正软件|无|无|
|智能配屏软件 SmartLCT|无|无|
|光电转换器系列|无|无|
|监控类配件|无|无|
|MG420/MG421/MGT2000|无|无|
|H20/H15/H9/H5/H2|无|无|
|银河管理平台、星河智控平台|无|无|
|D32|无|无|
|D12|无|无|
|N20/N10|无|无|
|C5 Pro|无|无|
|C5|无|无|
|C3|无|无|
|ET4000/ET2000|无|无|
|V2460 / V1260n / V1160 / V1060n / V960 / V760|无|无|
|K16|无|无|
|VX1000 / VX600 / VX400、NovaPro UHD Jr|无|无|
|HDR Master 4K|无|无|
|视频拼接软件 V-Can|无|无|
|中控系统 Vunit 3000|无|无|
|智能中控 Vunit 2000|无|无|
|视频输入扩展器 VE7|无|无|
|视频分配器 4K UHD 1×4|无|无|
|Taurus Ultra 系列|无|无|
|Taurus 系列|无|无|
|LCB 系列|无|无|
|屏精灵|无|无|
|屏老板|无|无|
|飞舵|无|无|
|MLED Demura 系统|MLED 全自动 Demura 系统、MLED 点亮测试机、MLED 墨色检测分选机、MLED 墨色检测机|无|
|MLED 显示 ASIC 控制芯片|TBS6332/TBS6336|无|
|MLED 显示高速接口芯片|TBS614E/TBS614S|无|
