产品网址：https://www.novastar-led.cn/index/products/productlist.html?id=2
产品结构：root->西安诺瓦星云科技股份有限公司-视频处理

|产品名称|产品型号|功能描述|
|--|--|--|
|COEX 系列|MX6000 Pro/ MX2000 Pro、MX40 Pro / MX30 / MX20 / KU20、CX40 Pro|无|
|MCTRL4K（4K×2K）、MCTRL1600（4K×2K）、MCTRLR5（4K×1K）|4K 带载|无|
|MCTRL700、MCTRL660 PRO、MCTRL660、MCTRL600|1080P 带载|无|
|MCTRL300、MSD300|130 万带载|无|
|CA 系列、Armor 系列、AT 系列、MRV 系列、DH 系列|接收卡|无|
|VMP 视觉管理平台、COB 屏体校正软件、专业逐点校正软件、智能配屏软件 SmartLCT|软件|无|
|光电转换器系列、监控类配件|配件|无|
|MG420/MG421/MGT2000|分布式系统|无|
|H20/H15/H9/H5/H2|视频拼接器|无|
|银河管理平台、星河智控平台|可视化平台|无|
|D32、D12、N20/N10|视频切换器|无|
|C5 Pro、C5、C3|控台|无|
|ET4000/ET2000|多媒体服务器|无|
|V2460 / V1260n / V1160 / V1060n / V960 / V760|视频控制器（工程版）|无|
|K16|视频控制器（租赁版）|无|
|VX1000 / VX600 / VX400、NovaPro UHD Jr|视频控制器（国际版）|无|
|HDR Master 4K|视频处理器|无|
|视频拼接软件 V-Can|软件系列|无|
|中控系统 Vunit 3000、智能中控 Vunit 2000、视频输入扩展器 VE7、视频分配器 4K UHD 1×4|配件|无|
|Taurus Ultra 系列|LED 播控处理器|无|
|Taurus 系列|LED 多媒体播放器|无|
|LCB 系列|LCD 多媒体播放器|无|
|屏精灵|全场景信息发布平台|无|
|屏老板|显示屏售前、施工、售后全流程服务云平台|无|
|飞舵|智慧门店一站式解决方案|无|
|MLED Demura 系统|MLED 全自动 Demura 系统|无|
|MLED 点亮测试机|MLED 点亮测试机|无|
|MLED 墨色检测分选机|MLED 墨色检测机|无|
|TBS6332/TBS6336、TBS614E/TBS614S|MLED 显示 ASIC 控制芯片、MLED 显示高速接口芯片|无|
