产品网址：https://www.bjyxjh.com/page153?product_category=122&brd=1
产品结构：共22条记录12下一页->末页

|产品名称|产品型号|功能描述|
|----|----|----|
|西门康 IGBT|SKKD100-16|无|
|西门康 IGBT|SKKD380/16|无|
|西门康 IGBT|SKKD260/16|无|
|西门康 IGBT|SKKE600/16|无|
|西门康 IGBT|SKM200GAH123DKL|无|
|西门康 IGBT|SKD62-16|无|
|西门康 IGBT|SKD145-16 11081PR|无|
|西门康 IGBT|SKCH28-16|无|
|西门康 IGBT|SKM50GD125D|无|
|西门康 IGBT|SKKD260-16|无|
|西门康 IGBT|SKKT42B16E|无|
|西门康 IGBT|SKKT273/16E|无|
|西门康 IGBT|SKET400/16E|无|
|西门康 IGBT|SKKD100-16|无|
|西门康 IGBT|SKB72-12|无|
|西门康 IGBT|SKM200GAH126DKLT|无|
