产品网址：https://www.bjyxjh.com/page154?product_id=624
产品结构：root->IKW15N120T2

|产品名称|产品型号|功能描述|
|----|----|----|
|IKW15N120T2|无|无|

品牌：,INFINEON/英飞凌
型号：,IKW15N120T2
数量：,18762
制造商：,Infineon
产品种类：,IGBT 晶体管
RoHS：,是
封装 / 箱体：,TO-247-3
安装风格：,Through Hole
配置：,Single
集电极—发射极最大电压 VCEO：,1200 V
集电极—射极饱和电压：,2.2 V
栅极/发射极最大电压：,20 V
在25 C的连续集电极电流：,30 A
Pd-功率耗散：,235 W
最小工作温度：,- 40 C
最大工作温度：,+ 175 C
系列：,Trenchstop IGBT3
集电极最大连续电流 Ic：,30 A
高度：,20.9 mm
长度：,15.9 mm
宽度：,5.03 mm
栅极—射极漏泄电流：,600 nA
零件号别名：,SP000244961 IKW15N12T2XK IKW15N120T2FKSA1
单位重量：,38 g


品牌：,INFINEON/英飞凌
型号：,IKW15N120T2
数量：,18762
制造商：,Infineon
产品种类：,IGBT 晶体管
RoHS：,是
封装 / 箱体：,TO-247-3
安装风格：,Through Hole
配置：,Single
集电极—发射极最大电压 VCEO：,1200 V
集电极—射极饱和电压：,2.2 V
栅极/发射极最大电压：,20 V
在25 C的连续集电极电流：,30 A
Pd-功率耗散：,235 W
最小工作温度：,- 40 C
最大工作温度：,+ 175 C
系列：,Trenchstop IGBT3
集电极最大连续电流 Ic：,30 A
高度：,20.9 mm
长度：,15.9 mm
宽度：,5.03 mm
栅极—射极漏泄电流：,600 nA
零件号别名：,SP000244961 IKW15N12T2XK IKW15N120T2FKSA1
单位重量：,38 g



