产品网址：https://www.bjyxjh.com/page154?product_id=625
产品结构：root->IKW40N65ES5

|产品名称|产品型号|功能描述|
|--|--|--|
|IKW40N65ES5|IKW40N65ES5|无|

牌：,INFINEON/英飞凌
型号：,IKW40N65ES5
数量：,17755
制造商：,Infineon
产品种类：,IGBT 晶体管
RoHS：,是
封装 / 箱体：,TO-247-3
安装风格：,Through Hole
配置：,Single
集电极—发射极最大电压 VCEO：,650 V
集电极—射极饱和电压：,1.35 V
栅极/发射极最大电压：,20 V
在25 C的连续集电极电流：,79 A
Pd-功率耗散：,230 W
最小工作温度：,- 40 C
最大工作温度：,+ 175 C
系列：,TRENCHSTOP 5 S5
高度：,20.7 mm
长度：,15.87 mm
工作温度范围：,- 40 C to + 175 C
宽度：,5.31 mm
栅极—射极漏泄电流：,100 nA
零件号别名：,IKW40N65ES5XKSA1 SP001319680 IKW40N65ES5XKSA1
单位重量：,38 g


牌：,INFINEON/英飞凌
型号：,IKW40N65ES5
数量：,17755
制造商：,Infineon
产品种类：,IGBT 晶体管
RoHS：,是
封装 / 箱体：,TO-247-3
安装风格：,Through Hole
配置：,Single
集电极—发射极最大电压 VCEO：,650 V
集电极—射极饱和电压：,1.35 V
栅极/发射极最大电压：,20 V
在25 C的连续集电极电流：,79 A
Pd-功率耗散：,230 W
最小工作温度：,- 40 C
最大工作温度：,+ 175 C
系列：,TRENCHSTOP 5 S5
高度：,20.7 mm
长度：,15.87 mm
工作温度范围：,- 40 C to + 175 C
宽度：,5.31 mm
栅极—射极漏泄电流：,100 nA
零件号别名：,IKW40N65ES5XKSA1 SP001319680 IKW40N65ES5XKSA1
单位重量：,38 g



