产品网址：https://www.bjyxjh.com/page154?product_id=454#
产品结构：root->触摸屏/人机界面

|产品名称|产品型号|功能描述|
|--|--|--|
|触摸屏/人机界面|XP10BKA/DC|文本显示微型人机界面|
|触摸屏/人机界面|XP10BKB/DC|文本显示微型人机界面（带 RTC 时钟功能）|
|触摸屏/人机界面|XP30-BTE/DC|STN 单色触摸屏，蓝色，3M，5.7"|
|触摸屏/人机界面|XP30-BTA|STN 单色触摸屏，蓝色，10M，5.7"|
|触摸屏/人机界面|XP30-TTA|TFT 彩色 LCD，65,536 色，10M，5.7"|
|触摸屏/人机界面|XP30-TTB/DC|TFT 彩色 LCD，65,536 色，10M，Explorer 功能，5.7"|
|触摸屏/人机界面|XP30-TTE/DC|TFT 彩色 LCD，256 色，4M，5.7"|
|触摸屏/人机界面|XP40-TTA/DC|TFT 彩色 LCD，65,536 色，10M，7"|
|触摸屏/人机界面|XP40-TTE/DC|TFT 彩色 LCD，65,536/256 色（默认），4M，7"|
|触摸屏/人机界面|XP50-TTA/DC|TFT 彩色 LCD，65,536 色，10M，8.4"|
|触摸屏/人机界面|XP50-TTB/DC|TFT 彩色 LCD，65,536 色，10M，Explorer 功能，8.4"|
|触摸屏/人机界面|XP70-TTA/AC|TFT 彩色 LCD，65,536 色，10M，10.4"|
|触摸屏/人机界面|XP70-TTA/DC|TFT 彩色 LCD，65,536 色，10M，10.4"|
|触摸屏/人机界面|XP70-TTB/AC|TFT 彩色 LCD，65,536 色，10M，Explorer 功能，10.4"|
|触摸屏/人机界面|XP80-TTA/AC|TFT 彩色 LCD，65,536 色，10M，12.1"|
|触摸屏/人机界面|XP80-TTA/DC|TFT 彩色 LCD，65,536 色，10M，12.1"|
|触摸屏/人机界面|XP80-TTB/AC|TFT 彩色 LCD，65,536 色，10M，Explorer 功能，12.1"|
|触摸屏/人机界面|XP90-TTA/AC|TFT 彩色 LCD，65,536 色，20M，15"|
|触摸屏/人机界面|XP3070C-T|XP 宽屏系列，XP3000 系列，7"，不带以太网口，宽屏|
|触摸屏/人机界面|XP3070C-TE|XP 宽屏系列，XP3000 系列，7"，带以太网口，宽屏|
|触摸屏/人机界面|XP3101C-T|XP3000 系列，10.1"，不带以太网口，宽屏|
|触摸屏/人机界面|XP3101C-TE|XP3000 系列，10.1"，带以太网口，宽屏|
|触摸屏/人机界面|XP3121C-TE|XP3000 系列，12.1"，带以太网口|
|触摸屏/人机界面|XP1000C-T|TFT 彩色 LCD，65,536 色，64M，7"|
|触摸屏/人机界面|XP2000C-T|TFT 彩色 LCD，65,536 色，64M，10.2"|


