产品网址：http://www.szdragon.com/products.aspx?nid=3&typeid=127&pageIndex=2
产品结构：root->转换芯片-新龙鹏-深圳市新龙鹏科技有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|HDMI to 4/2-Port MIPI|无|HDMI 1.4 Receiver，Compliant with HDMI 1.4,up...|
|HDMI 2.1 to 4 Port MIPI|无|HDMI 2.1 Receiver，compliant with HDMI 2.1...|
|MIPI/TTL/LVDS to MIPI/TTL/L...|无|无|
|MIPI to LVDS/HDMI|无|One-Channel MIPI® DSI Receiver，Compliant with...|
|Type-C/DP1.4 to 4-port MIPI|无|Type-C，Compliant with VESA DisplayPort alt mod...|
|Type-C/DP1.4 to HDMI2.1|无|Type-C，Compliant with VESA DisplayPort alt mode...|
|HDMI2.1 to DP1.4/Type-C|无|HDMI2.1 Receiver，Compliant with HDMI2.1, HDMI2....|
|eDPx to MIPI/eDP1.4/DP1.2|无|eDPx Receiver，1/2/4/8 configurable data lanes...|
|HDMI2.0 Splitter|无|HDMI 1.4/2.0 specifications compliant...|
