产品网址：https://www.simchip.com/productinfo/2744603.html?templateId=1133605
产品结构：root->SC8101-上海芯炽科技集团有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|超低功耗低压降线性稳压器|SC8101|是一款亚微安静态电流的高速高精度低压差线性稳压芯片，带有使能引脚和关断快速放电功能。带有输入限流、输出短路保护、过热保护等功能，在异常工作条件下保护芯片不受损伤。采用 SOT23-3，SOT23-5 和 DFN-4 封装形式。主要性能：超低静态电流：0.8uA (Typ)；宽的工作电压范围：3.4V ~ 5.5V；输出电压：3.3V, 2.8V, 1.8V, 1.2V；最大输出电流：输出电压 3.3V / 2.8V /1.8V：400mA，输出电压 1.2V：250mA；高输出精度：±1.5%；低压差：220mV@200mA/3.3V；高 PSRR：70dB@1KHz；低温度系数；过流保护、输出短路保护；可接低至 1uF 输出电容；快速放电功能。应用场景：电池供电的产品、参考电压源、其他低电压稳压。|

型号,型号.1,物料编号,温度范围,封装类型
SC8101,3.3V,SC8101GALUMY-33,-40~85℃,SOT23-5
SC8101,3.3V,SC8101GAHUMY-33,-40~85℃,SOT23-3
SC8101,3.3V,SC8101GDNUMY-33,-40~85℃,DFN-4
SC8101,2.8V,SC8101GALUMY-28,-40~85℃,SOT23-5
SC8101,2.8V,SC8101GDNUMY-28,-40~85℃,DFN-4
SC8101,1.8V,SC8101GALUMY-18,-40~85℃,SOT23-5
SC8101,1.8V,SC8101GAHUMY-18,-40~85℃,SOT23-3
SC8101,1.8V,SC8101GDNUMY-18,-40~85℃,DFN-4
SC8101,1.2V,SC8101GALUMY-12,-40~85℃,SOT23-5
SC8101,1.2V,SC8101GDNUMY-12,-40~85℃,DFN-4
