产品网址：https://www.shiningic.com/zh/producterlist.aspx?classid=010114
产品结构：当前位置首页->产品中心->DC-LED

|产品名称|产品型号|功能描述|
|----|----|----|
|DC-LED|无|无|

序号,型号,产品类型,输入电压(V),输出电流(mA),静态功耗(uA),转换效率,开关频率(KHz),功率(W),外围器件,功能,封装
1,YX8263,功能驱动,2.5-5,200,/,/,/,/,/,直驱,SOT23-6
2,YX8285,功能驱动,2.5-4.5,充电1000，放电1000,1,/,/,1-5,L+2C+3R,升压/直驱,SOP16
3,YX8287,功能驱动,2.5-5,500+500,1,/,/,1-3,R+C,直驱,SOP8
4,YX8283A,功能驱动,2.5-5,充电600、放电800,1,92&b,240,1-2.5,C+R,直驱,SOT23-6
5,YX8283B,功能驱动,2.5-5,充电1000、放电1800,1,92&b,240,1-6,2C+2R,直驱,ESOP8
6,YX8257,功能驱动,2.5-5,1400,1,/,/,1-4,R,直驱,SOT23-6
7,YX8254,功能驱动,2.5-5,1800,1,92&b,500,1-5,C+R,直驱,SOT23-6
8,YX8256,功能驱动,2.5-5,1400+1400,0.1,92&b,/,1-6,C+3R,直驱,SOT23-6
9,YX8701,功能驱动,85-265、VAC,1500,详情请查阅产品手册,/,/,1-5,R,直驱,SOP8
10,YX8253G,功能驱动,2.5-5,800,1,/,/,1-2.5,C+R,直驱,SOT23-6
11,YX8251,功能驱动,2.7-5,800,0.1,/,/,1-2.5,C,直驱,SOP8
12,YX8233S,功能驱动,2.5-5,1000,详情请查阅产品手册,92&b,500,1-3,C+R,直驱,SOT23
13,YX6015,恒流DC-DC驱动,0.9-4.2,1000,1,88&b,1000,1-3,L+D+2C+R,升压恒流,SOT23-6
14,YX601,恒流DC-DC驱动,0.9-4.2,1000,1,88&b,1000,1-3,L+D+2C+R,升压恒流,SOT23-6
15,YX2601,DC-DC驱动,0.9-3.2,150,详情请查阅产品手册,80&b,90-150,1,L,升压,SOT23
16,YX8117,DC-DC驱动,0.9-1.5/1.5-3,250/650,详情请查阅产品手册,80&b,200-320,1,L+C,升压,SOT23
17,YX2608B,DC-DC驱动,0.9-1.5,60/150,详细请查阅产品手册,80&b,200-320,0.5,L/L+D+C,升压,SOT23
