产品网址：https://www.iscsemi.com/en/supply
产品结构：root->Products-InchangeSemiconductorCompany(ISC)

|产品名称|产品型号|功能描述|
|--|--|--|
|MOSFETs|无|无|
|MOSFET Power Modules|无|无|
|IGBTs|无|无|
|IGBT Power Modules|无|无|
|Bipolar Transistors|无|无|
|Thyristors|无|无|
|Thyristors Power Modules|无|无|
|Schottky Diodes|无|无|
|Schottky Diodes Power Modules|无|无|
|Fast Recovery Diodes|无|无|
|Fast Recovery Diodes Power Modules|无|无|
|SiC Schottky Diodes|无|无|
|SiC Diode Modules|无|无|
|SiC MOSFETs|无|无|
|SiC MOSFET Power Modules|无|无|
|Wafer & Die|无|无|
