产品网址：http://www.710ap-instrument.com/productMechanies/14.html
产品结构：首页->产品中心->电子个人剂量计

|产品名称|产品型号|功能描述|
|--|--|--|
|电子个人剂量计|ALPHAPEC100|是一款高灵敏、宽量程的核辐射检测仪器，可直接检测γ射线辐射水平。采用两支组合形式的盖革-弥勒计数管实现对核辐射剂量的宽量程检测，可广泛应用于环境监测、卫生医疗、化工场所、核工业、出入境检验检疫等领域。具备采用两支盖革-弥勒计数管实现宽量程检测、内置β放射源可对报警通道实现自动检查、人机界面友好操作便捷手感舒适、具备通用 Micro-USB 接口和 3.5mm 音频接口可将脉冲信号传输到其他外部设备等优势。|

检测原理,盖革弥勒计数器
检测种类,γ射线
辐射剂量,10-3 Gy～10 Gy
辐射剂量率,10-7 Gy/h～10 Gy/h
响应时间,≤2 秒
检测精度,≤±10.0%
报警种类,超阈值报警、探测器故障报警、低电压报警、超量程报警
报警方式,声光报警
显示,低功耗点阵液晶显示，数据同屏显示，带背光功能
电源要求,9 V碱性电池
最大尺寸,180 mm×130 mm×50 mm
重量,≤1.2 Kg
