产品网址：http://www.jxlwdz.cn/productshow.php?cid=18&id=1
产品结构：root->键合金丝-金基产品-江西蓝微电子科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|键合金丝|无|键合金丝产品机械性能 Mechanical properties of gold bonding wire|

产品名称  Product name,型号  Type,特性  Characteristics,适用范围  Scope of application
键合金丝  Gold bonding wire,LN-1,"4N，中高弧封装，中等强度  4N,Middle-high loop height,Medium strength",LED封装  LED package
键合金丝  Gold bonding wire,LD-1,"4N，高强度，中低弧封装  4N,High strength,Low-middle loop height","LED中高端封装（背光、户外显示屏RGB、超高亮 LED特殊光源、COB集成大功率）；IC封装（DIP，SIP，PLCC）  Medium-High end LED package(RGB,COB),IC(DIP,SIP,PLCC)"
键合金丝  Gold bonding wire,LD-2,"4N，高强度，中低弧封装  4N,High strength ,Low-middle loop height",COB模组封装；IC封装（QFN，QFP，DIP ，SIP，CSP，TSOP，TQFP）LED（COB），IC（QFN，QFP，DIP，SIP，CSP，TSOP，TQFP）
键合金丝  Gold bonding wire,LX-1,"4N，更高强度，低弧封装  4N,Higher strength,Low loop height","高端IC分装（LQFP，BGA，QFN，QFP，DIP，SIP，CSP）  High end IC package (LQFP,BGA QFN,QFP,DIP,SIP,CSP)"
键合金丝  Gold bonding wire,LZ-1,"2N，超高强度，高刚度，超低弧长跨度封装  2N,Highest strength,High stiffness","高端IC封装（QFN，LQFP，BGA，CSP）  High end IC package (QFN,LQFP,BGA,CSP)"


直径  Diameter,直径  Diameter.1,最小拉断力  Breaking load(min)  cN,最小拉断力  Breaking load(min)  cN.1,最小拉断力  Breaking load(min)  cN.2,最小拉断力  Breaking load(min)  cN.3,最小拉断力  Breaking load(min)  cN.4,伸长率  Elongation  %,伸长率  Elongation  %.1
mm,mil,LN-1,LD-1,LD-2,LX-1,LZ-1,LN-1  Series,LD/LX  Series
0.013,0.52,2.0,2.0,3.0,3.0,3.0,2.0-5.0,2.0-5.0
0.014,0.56,2.5,2.5,3.0,3.0,3.5,2.0-5.0,2.0-5.0
0.015,0.60,3.0,3.0,3.5,3.5,4.0,2.0-5.0,2.0-5.0
0.016,0.64,3.0,3.0,3.5,3.5,4.5,2.0-5.0,2.0-5.0
0.017,0.68,3.5,3.5,4.0,4.0,5.0,2.0-5.0,2.0-5.0
0.018,0.70,4.0,4.0,4.5,5.0,5.5,2.0-5.0,2.0-5.0
0.019,0.75,4.5,4.5,5.0,5.0,6.0,2.0-5.0,2.0-5.0
0.020,0.80,5.0,5.0,5.5,6.0,6.5,2.0-6.0,2.0-6.0
0.021,0.84,5.5,5.5,6.0,6.0,7.0,2.0-6.0,2.0-6.0
0.022,0.87,6.0,6.0,6.5,7.0,8.0,2.0-6.0,2.0-6.0
0.023,0.90,6.5,6.5,7.0,7.5,9.0,2.0-6.0,2.0-7.0
0.024,0.95,7.5,7.5,8.0,9.5,10.0,2.0-7.0,2.0-7.0
0.025,1.00,8.0,9.0,10.0,10.0,11.0,2.0-7.0,2.0-7.0
0.026,1.04,8.5,9.0,10.0,10.5,12.0,2.0-7.0,2.0-7.0
0.027,1.08,9.0,9.5,10.0,12.0,13.0,2.0-8.0,2.0-8.0
0.028,1.12,10.0,10.5,11.0,13.0,14.0,2.0-8.0,2.0-8.0
0.029,1.16,11.0,11.5,12.0,14.0,15.0,2.0-8.0,2.0-8.0
0.030,1.20,11.5,12.0,13.0,15.0,16.0,3.0-8.0,3.0-8.0
0.032,1.25,12.5,13.0,14.0,16.0,17.0,3.0-8.0,3.0-8.0
0.033,1.30,13.0,13.5,15.0,17.0,18.0,3.0-10.0,3.0-10.0
0.034,1.34,14.0,14.5,15.0,18.0,18.5,3.0-10.0,3.0-10.0
0.035,1.40,15.0,16.0,17.0,19.0,20.0,3.0-10.0,3.0-10.0
0.038,1.50,18.0,18.5,19.0,21.0,23.0,4.0-10.0,4.0-11.0
0.040,1.60,20.0,21.0,23.0,24.0,26.0,4.0-10.0,4.0-11.0
0.043,1.70,22.0,23.0,28.0,30.0,32.0,4.0-10.0,4.0-11.0
0.044,1.76,24.0,25.0,30.0,33.0,35.0,4.0-10.0,4.0-11.0
0.045,1.80,25.0,28.0,31.0,35.0,38.0,4.0-10.0,4.0-11.0
0.050,2.00,32.0,34.0,35.0,38.0,41.0,4.0-12.0,5.0-12.0
0.060,2.36,45.0,50.0,52.0,56.0,60.0,7.0-14.0,7.0-14.0
0.070,2.76,55.0,60.0,68.0,75.0,80.0,7.0-14.0,7.0-14.0
