产品网址：https://www.taixin-semi.com/Search
产品结构：root->珠海泰芯半导体有限公司-产品选型

|产品名称|产品型号|功能描述|
|--|--|--|
|TXW80x|TXW801、TXW802、TXW803、TXW806|无|
|TXW81x|TXW813、TXW816、TXW817、TXW818、TXW81x 开发资料|无|
|TXW901|TXW901|无|
|TX8C1100|无|无|
|TX8C1010|无|无|
|TX8C1260|无|无|
|TX8C1261|无|无|
|TX8T3260|无|无|
|TX8T3261|无|无|
|TX8T3262|无|无|
|TX8T3263|无|无|
|TX8T3265|无|无|
|TX8M2260|无|无|
|TX8M2261|无|无|
|TX32M2300(TXM2000)|无|无|
|TX8M2262|无|无|
|TX8W7000|无|无|
|TX8W7011|无|无|
|TX8W7260|无|无|
|TX8W7261|无|无|
|TX8W7262|无|无|

型号,封装类型,主控,主频（MHz）,Flash（KB）,RAM（Byte）,EEPROM（Byte）,GPIO,最高充电电流,工作电压（V）,工作温度（℃）,TouchKey,LED（com*seg）,LCD（com*seg）,高级Timer,通用Timer,WatchDog,PWM,RTC,UART,SPI,IIC,ADC,DAC,ACMP,PGA,CRC,代码加密,低功耗,SDIO,USB,RMII,工作频段(MHz),SDC,DVP,MJPEG,IIS,PDM,EPWM,M2M DMA,AES,CRC.1,TRNG,QSPI,视频编码,GateDriver,LCD(RGB&MCU),AudioADC,AudioDAC,OTPROM
TX8T3261SO20,SOP20,8051,48.0,16,2048,2*128,18,,2.4 ~ 5.5,-40 ~ 105,18,8*10,-,6*16bit,5*16bit,1.0,6,-,2.0,1.0,1.0,18,0.0,0.0,-,1,√,5uA,,,,,,,,,,,,,,,,,,,,,
TXW901-100,QFN24,,,,,,12,,3 ~ 3.6,-40 ~ 85,,,,,2*32bit,1.0,2,,1.0,1.0,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
TXW813-320,QFN32,CK803,240.0,2048,272*1024,,20,,3 ~ 3.6,-40 ~ 85,,,,2*16bit,9*32bit,1.0,14,1,3.0,3.0,2.0,1,1.0,,,,√,,,1.0,,2.4G,1.0,,2 enc + 1 dec,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,√,,1.0,,,
TXW818-C08L,QFN68,CK803,240.0,0,272*1024 +8192*1024,,47,,3 ~ 3.6,-40 ~ 85,,,,2*16bit,9*32bit,1.0,14,1,3.0,3.0,2.0,1,1.0,,,,√,√,1.0,1.0,1.0,2.4G,1.0,1.0,2 enc + 1 dec,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,√,,1.0,1.0,1.0,
TXW818-C04L,QFN68,CK803,240.0,0,272*1024 +4096*1024,,47,,3 ~ 3.6,-40 ~ 85,,,,2*16bit,9*32bit,1.0,14,1,3.0,3.0,2.0,1,1.0,,,,√,√,1.0,1.0,1.0,2.4G,1.0,1.0,2 enc + 1 dec,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,√,,1.0,1.0,1.0,
TXW817-824,QFN48,CK803,240.0,2048,272*1024 +4096*1024,,29,,3 ~ 3.6,-40 ~ 85,,,,2*16bit,9*32bit,1.0,14,1,3.0,3.0,2.0,1,1.0,,,,√,,1.0,1.0,1.0,2.4G,1.0,1.0,2 enc + 1 dec,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,√,,1.0,1.0,1.0,
TXW817-810,QFN48,CK803,240.0,1024,272*1024,,31,,3 ~ 3.6,-40 ~ 85,,,,2*16bit,9*32bit,1.0,14,1,3.0,3.0,2.0,1,1.0,,,,√,,1.0,1.0,1.0,2.4G,1.0,1.0,2 enc + 1 dec,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,√,,1.0,1.0,1.0,
TXW816-G00,QFN48,CK803,240.0,0,272*1024,,34,,3 ~ 3.6,-40 ~ 85,,,,2*16bit,9*32bit,1.0,14,1,3.0,3.0,2.0,1,1.0,,,,√,,1.0,1.0,1.0,2.4G,1.0,1.0,2 enc + 1 dec,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,√,,1.0,,,
TXW816-810,QFN48,CK803,240.0,1024,272*1024,,34,,3 ~ 3.6,-40 ~ 85,,,,2*16bit,9*32bit,1.0,14,1,3.0,3.0,2.0,1,1.0,,,,√,,1.0,1.0,1.0,2.4G,1.0,1.0,2 enc + 1 dec,2.0,1.0,,2.0,1.0,1.0,1.0,1.0,√,,1.0,,,
TXW806-840,QFN48,CK803,180.0,1024,294*1024,,34,,3 ~ 3.6,-40 ~ 85,30,8*12,,6*16bit,6*32bit,1.0,18,1,4.0,5.0,2.0,2,2.0,,,,√,,1.0,1.0,1.0,2.4G,1.0,1.0,1,2.0,1.0,6.0,2.0,1.0,1.0,1.0,1.0,√,,,,,
