产品网址：http://www.sczxrd.cn/product/52.html
产品结构：root->磷酸氢二钠_无机磷酸盐-农化水溶肥-磷矿资源深加工-四川中鑫锐达化工有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|磷酸氢二钠|无|主要用作织物、木材和纸张的防火剂，锅炉软水剂，染料助剂，食品添加剂，酸度缓冲剂及釉药、焊药、焙药、电镀、鞣革的制造，焦磷酸盐的制造等|

序号,指标名称,Unnamed: 2,十二水工业级,十二水工业级.1,无水  物,无水  物.1
序号,指标名称,,工业级,食品级,工业级,食品级
1,主含量,%  ≥,97.0,98.0,98.0,98.0
2,五氧化二磷（  P2O5  ）,%  ≥,19.2,19.4,49.0,49.0
3,1%  水溶液  PH  值,,8.5-10.0,8.5-10.0,8.8-9.4,9.0-9.4
4,硫酸盐,%  ≤,0.7,0.25,0.1,--
5,氯化物  (  以  CI  计  ),%  ≤,--,--,0.05,--
6,氟化物（以  F  计）,%  ≤,--,--,0.05,0.005
7,重金属  (  以  Pb  计  ),%  ≤,--,0.001,--,0.001
8,砷  (  以  As  计  ),%  ≤,--,0.0003,0.05,0.0003
9,水不溶物,%  ≤,0.1,0.1,0.1,0.1
10,灼烧失重,%  ≤,--,--,2.0,2.0
