产品网址：http://www.sczxrd.cn/product/14.html
产品结构：root->磷酸三钠_无机磷酸盐-农化水溶肥-磷矿资源深加工-四川中鑫锐达化工有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|磷酸三钠|无|在工业中用于软水处理、日用化工、电镀磷化、印染固色、搪瓷助熔及制革脱脂等。在食品中用作乳化剂，营养剂和品质改良剂。|

序号,指标名称,Unnamed: 2,十二水物,十二水物.1,无水物,无水物.1
序号,指标名称,,12  水物,12  水食品级,无水物,无水物
,外观,,白色或无色粒状晶体,白色或无色粒状晶体,白色粉末,白色粉末
1,主含量,%  ≥,98.0,98.0,98.0,98.0
2,五氧化二磷,%  ≥,18.3,18.3,39.5,39.5
3,甲基橙碱度,%  ≥,15.5-19.0,15.5-19.0,36-40,36-40
4,硫酸盐,%  ≤,0.5,0.5,0.25,0.25
5,PH  值,,11.5-12.5,11.5-12.5,11.5-12.5,11.5-12.5
6,水不溶物,%  ≤,0.1,0.1,0.1,0.1
7,重金属（以铅计）,%  ≤,--,0.001,--,0.001
8,砷,%  ≤,--,0.0003,--,0.0003
9,氯化物,%  ≤,--,0.005,--,0.005
