产品网址：http://video-sy.com/?show-63-1.html
产品结构：当前位置：首页->产品中心->录播服务器->录播服务器->互动

|产品名称|产品型号|功能描述|
|--|--|--|
|录播服务器|SY-S950|嵌入式标准 1U 硬件架构设计，支持 4 路高清视频输入，录制、直播、点播、智能导播、存储等多功能于一体的集成录播设备。支持 SDI 信号，HDMI 信号，PC 信号的音视频采集录制，配合跟踪系统实现全自动跟踪导播。支持电影模式+资源模式同时录制和直播，画面支持 1/2/3/4//6 分屏、画中画模式显示和录制。支持在本地接上鼠标、导播台和显示器进行导录播操作，支持 PC 和平板上登录 IE 进行远程导播，在本地 UI 界面导播无任何延时。适用于会议录播、教育录播、医疗录播等多场景的应用。|

型  号,录播服务器SY-S950-V40
系统结构,嵌入式Linux系统
视频输入,2路SDI输入，1路HDMI+1路VGA输入
视频输出,1路HDMI，1路VGA输出
输入分辨率,SDI：1080P@25fps～1080P@60fps
输入分辨率,HDMI/VGA：1024*768@60HZ～1920*1080@60HZ
音频输入,2路LINE  in，3pin凤凰端子接口
音频输出,2路LINE  out，3pin凤凰端子接口
音频编码,AAC
视频输出格式,MP4
视频编码帧率,1～30fps
视频码率,500kbps~40Mbps可调
音频码率,8~128KB可调
数据存储,标配1T硬盘，支持扩展
RS485接口,4组
RS232接口,2组
网络,1个1000M网口
USB接口,1个USB2.0，1个USB3.0
导播功能,视频预览/直播画面监视/视频切换/预直播画面监视/直播画面多分
导播功能,屏显示/双电影导播模式/片头片尾/特技效果/字幕
录播功能,实时推流/同步录制/电影模式录像/资源模式录像/资源模式和电影
录播功能,模式同时工作/手动和全自动导播/一键开启推流和录像/本地通道
录播功能,回放/内置播放器/双导模式下两个电影模式同时工作
软件升级,支持网络升级、RS232串口升级
存储模式,支持内置硬盘、外接USB存，支持USB导出，支持FTP下载、
存储模式,上传录像
直播协议,支持RTMP、RTSP、UDP、TCP
网络协议,支持TCP、UDP、RTMP、RTSP、FTP、DHCP
工作电源,DC 12V/3A
