产品网址：http://www.sczxrd.cn/product/17.html
产品结构：root->三聚磷酸钠_无机磷酸盐-农化水溶肥-磷矿资源深加工-四川中鑫锐达化工有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|三聚磷酸钠|无|用作合成洗涤剂的主要助剂、肥皂增效剂、制革予鞣剂、工业用水的软水剂，油漆、高岭土、氧化镁、碳酸钙、钻井泥浆等悬浮液处理的有效散剂；造纸用作防油污剂。食品工业中用于罐头、果汁饮料、奶制品、豆乳等的品质改良剂；主要供火腿罐头嫩化，蚕豆罐头中使豆皮软化，亦可用作软化剂和增稠剂。|

序号,指标名称,Unnamed: 2,工业级  一等品,工业级  优等品,食品级
1,主含量  (  以  Na 5 P 3 O 10  计  ),%  ≥,90.0,94.0,95.0
2,五氧化二磷（  P2O5  ）,%  ≥,56.5,57.0,57.0
3,铁  (  以  Fe  计  ),%  ≤,0.01,0.01,0.01
4,水不溶物,%  ≤,0.15,0.15,0.05
5,氯化物  (  以  CI  计  ),%  ≤,--,--,0.025
6,重金属  (  以  Pb  计  ),%  ≤,--,--,0.001
7,砷  (  以  As  计  ),%  ≤,--,--,0.0003
8,1%  水溶液  PH  值,,9.2-10.0,9.2-10.0,9.5-10.0
9,氟化物（以  F  计）,%  ≤,--,--,0.003
10,硫酸盐,%  ≤,--,--,0.4
11,白度,,85,90,90
