产品网址：http://www.beidian.com.cn/products/product_d.aspx?pg_id=6&pt_id=0&p_id=69&row=10&page=0
产品结构：首页->产品中心->无线产品->微功率直放站

|产品名称|产品型号|功能描述|
|--|--|--|
|智能微功率直放站|无|微型直放站应用于点式小区域覆盖，能有效消除室内移动通信覆盖盲区和阴影区，抑制各种干扰，以智能化的服务为用户提供稳定、可靠的信号，使用户享受到无处不在、随时随地的高质量的移动通信服务。它不对基站产生干扰，安装灵活，见缝插针，为小区域覆盖提供了经济快捷的解决方案。主要应用在地下室、地下停车场、隧道、健身房、电梯、别墅、车辆等信号不良话务量较大的小地区场合。具有上行链路自动关断、自激检测、上下行自动联动调试、数字和模拟 ALC 双重冗余、宽电源范围、低功耗设计、性能稳定可靠、尺寸小、安装灵活快捷、智能化设计等特点，有 G 网、C 网、W 网多种制式产品可供选择。|

规格型号,规格型号.1,BD-G900-15  （17）,BD-C800-15  （17）,BD-W2100-13  （15）
频率,上行,890-915MHz,825-835MHz,1940-1955MHz
频率,下行,935-960MHz,870-880MHz,2130-2145MHz
增益,增益,≧  65±3dB,≧  65±3dB,≧  59±3dB
自动功率控制,自动功率控制,≧25dB,≧25dB,≧25dB
噪声系数,噪声系数,上行≦4dB；下行≦4dB,上行≦4dB；下行≦4dB,上行≦4dB；下行≦4dB
带内平坦,带内平坦,≦5dB (p-p),≦5dB (p-p),≦5dB (p-p)
驻波比,驻波比,＜1.5,＜1.5,＜1.5
自动增益调整,自动增益调整,25dB in step of 1dB  （Auto）,25dB in step of 1dB  （Auto）,25dB in step of 1dB  （Auto）
最大输出功率,最大输出功率,UL  ：7±2dBm DL：15/17±2dBm,UL  ：7±2dBm DL：15/17±2dBm,UL  ：5±2dBm  DL：13/15±2dBm
输入功率范围,输入功率范围,≦-25 dBm,≦-25 dBm,≦-25 dBm
下行互调衰减,下行互调衰减,≦-36dBc,≦-36dBc,≦-36dBc
杂散发射,9KHz  ~  150KHz,≦-36dBm @ 1KHz,≦-36dBm @ 1KHz,≦-36dBm @ 1KHz
杂散发射,150KHz  ~  30MHz,≦-36dBm @ 10KHz,≦-36dBm @ 10KHz,≦-36dBm @ 10KHz
杂散发射,30MHz  ~  1GHz(  带外),≦-36dBm @ 100KHz,≦-36dBm @ 100KHz,≦-36dBm @ 100KHz
杂散发射,1GHz  ~  12.7GHz,≦-30dBm @ 1MHz,≦-30dBm @ 1MHz,≦-30dBm @ 1MHz
时延,时延,UL  ≦1μs,UL  ≦1μs,UL  ≦1μs
机械参数,机械参数,尺寸（mm）：  160  ×115×22，重量  <1  kg,尺寸（mm）：  160  ×115×22，重量  <1  kg,尺寸（mm）：  160  ×115×22，重量  <1  kg
工作电压,工作电压,AC 220V,AC 220V,AC 220V
