产品网址：https://www.coolsemi.com/product/IPM
产品结构：root->IPM-产品中心-功成半导体_上海功成半导体公司

|产品名称|产品型号|功能描述|
|--|--|--|
|智能功率模块 IPM|CIM03D60C1B3、CIM03S50H1A1S/CIM03S50H1A1、CIM04S60C4A1S/CIM04S60C4A1、CIM05S50C2A1S/CIM05S50C2A1、CIM05S50C2A2S/CIM05S50C2A2、CIM05S50CPA1/CIM05S50CPA1S、CIM06S60C5A1S/CIM06S60C5A1、CIM07S50C1A1S/CIM07S50C1A1、CIM07S50C3A1/CIM07S50C3A1S、CIM07S50C3A2S/CIM07S50C3A2、CIS06D60L1B2、CIS06S60L1A1S/CIS06S60L1A1、CIS06S60L1C1、CIS06S60L1D1、CIS10D60L1B1、CIS10D60L2B1、CIS10S60L1C1、CIS10S60L1D1、CIS10S60Q1C1、CIS15D60L1B1、CIS15S60L1C1、CIS15S60L1D1、CIS15S60Q1C1、CIS20S60Q1C1、CIS30S60L1C1、CIS30S60Q1C1|集成驱动电路、保护电路的专用控制 IC，外围电路设计更加紧凑、容易。控制 IC 与功率芯片性能的高度匹配使模块可靠性、稳定性更优，保护功能反应更精准快速。CoolSemi IPM 集成了高性能功率器件以及与功率器件高度匹配的驱动 HVIC。集温度检测与自我保护功能于一体。|

Product,Data Sheet,Series,Power Chip,Voltage Rating （V）,Current Rating（A）,Package Size,Package
具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认
CIS30S60Q1C1,索取,Mini,IGBT,600,30,38x24,DIP-24
CIS20S60Q1C1,索取,Mini,IGBT,600,20,38x24,DIP-24
CIS15S60Q1C1,索取,Mini,IGBT,600,15,38x24,DIP-24
CIS10S60Q1C1,索取,Mini,IGBT,600,10,38x24,DIP-24
CIM05S50CPA1/CIM05S50CPA1S,索取,Nano,MOS,500,5,29X12,SOP-23/DIP-23
CIM07S50C3A1/CIM07S50C3A1S,索取,Nano,MOS,500,7,29X12,SOP-23/DIP-23
CIM03S50H1A1S/CIM03S50H1A1,索取,Nano,MOS,500,3,29X12,SOP-23/DIP-23
CIM05S50C2A1S/CIM05S50C2A1,索取,Nano,MOS,500,5,29X12,SOP-23/DIP-23
CIM05S50C2A2S/CIM05S50C2A2,索取,Nano,MOS,500,5,29X12,SOP-23/DIP-23
CIM07S50C1A1S/CIM07S50C1A1,索取,Nano,MOS,500,7,29X12,SOP-23/DIP-23
CIM07S50C3A2S/CIM07S50C3A2,索取,Nano,MOS,500,7,29X12,SOP-23/DIP-23
CIM04S60C4A1S/CIM04S60C4A1,索取,Nano,MOS,600,4,29X12,SOP-23/DIP-23
CIM06S60C5A1S/CIM06S60C5A1,索取,Nano,MOS,600,6,29X12,SOP-23/DIP-23
CIS06S60L1A1S/CIS06S60L1A1,索取,Nano,IGBT,600,6,29X12,SOP-23/DIP-23
CIS10D60L2B1,索取,Micro,IGBT,600,10,32x15,DIP-25
CIS06D60L1B2,索取,Micro,IGBT,600,6,32x15,DIP-25
CIM03D60C1B3,索取,Micro,MOS,600,3,32x15,DIP-25
CIS10D60L1B1,索取,Micro,IGBT,600,10,32x15,DIP-25
CIS15D60L1B1,索取,Micro,IGBT,600,15,32x15,DIP-25
CIS06S60L1D1,索取,Slim,IGBT,600,6,32.8x18.8,DIP-27
CIS10S60L1D1,索取,Slim,IGBT,600,10,32.8x18.8,DIP-27
CIS15S60L1D1,索取,Slim,IGBT,600,15,32.8x18.8,DIP-27
CIS06S60L1C1,索取,Mini,IGBT,600,6,38x24,DIP-24
CIS10S60L1C1,索取,Mini,IGBT,600,10,38x24,DIP-24
CIS15S60L1C1,索取,Mini,IGBT,600,15,38x24,DIP-24
CIS30S60L1C1,索取,Mini,IGBT,600,30,38x24,DIP-24
