产品网址：https://www.coolsemi.com/product/SGT
产品结构：root->SGT-产品中心-功成半导体_上海功成半导体公司

|产品名称|产品型号|功能描述|
|----|----|----|
|屏蔽栅 MOSFET|CSA038N08S2 等|采用超深沟槽设计，屏蔽栅于源极短接，屏蔽掉了大部分 Qgd 电荷，大大降低器件的米勒电容，有效提升器件的开关速度，开关损耗更低，沟槽深度加深降低导通电阻，导通损耗更低|

Product,Data Sheet,BV(V),ID,RDS(on)(mΩ)@ Typ.,RDS(on)(mΩ)@ Max.,V(GS)th(V),Package
具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认
CSW042N12S2,下载,120,140,3.7,4.2,3,TO-247
CSLS250ND08S2,下载,80,30,22,25,1.7,PDFN5*6
CSD100N10G1,下载,100,60,8,10,1.8,TO-252
CSLS100N10G1,下载,100,60,8,10,1.8,PDFN5*6
CSW220N25S2,下载,250,95,15.7,22,3,TO-247
CSB220N25S2,下载,250,95,15.7,22,3,TO-263
CSP220N25S2,下载,250,95,15.9,22,3,TO-220
CSW200N25S2,下载,250,100,15.2,20,3,TO-247
CSB200N25S2,下载,250,100,15,20,3,TO-263
CSP200N25S2,下载,250,100,15.4,20,3,TO-220
CSD120N10S2,下载,100,80,9.5,12,1.8,TO-252
CSB120N10S2,下载,100,80,9.5,12,1.8,TO-263
CSP120N10S2,下载,100,80,9.8,12,1.8,TO-220
CSW110N20S2,下载,200,135,8.4,10,3,TO-247
CSB110N20S2,下载,200,135,8.7,10,3,TO-263
CSP110N20S2,下载,200,135,9,10,3,TO-220
CSW025N10S2,下载,100,280,2.15,2.5,3,TO-247
CSB025N10S2,下载,100,280,2.3,2.6,3,TO-220
CSP025N10S2,下载,100,280,2.15,2.5,3,TO-263
CSW022N10S2,下载,100,320,1.65,2.2,2.9,TO-247
CSB022N10S2,下载,100,320,1.75,2.2,2.9,TO-263
CSP022N10S2,下载,100,320,2,2.4,2.9,TO-220
CST220N25S2,下载,250,100,15.5,22,3,TOLL
CST110N20S2,下载,200,145,8.2,11,3,TOLL
CST100N20S2,下载,200,160,7.5,10,3,TOLL
CST038N12S2,下载,120,190,3.3,3.8,3,TOLL
CST018N10S2,下载,100,350,1.4,1.8,2.9,TOLL
CSLS150ND06S2,下载,60,45,13.5,18,1.8,PDFN5*6
CSLS120N10S2,下载,100,60,10.5,12,1.8,PDFN5*6
CSD065N08S2,下载,80,85,5.8,6.5,1.7,TO-252
CSC120N10S2A,下载,100,80,9.5,12,1.8,TO-220
CSC100N10G1,下载,100,90,8,10,1.8,TO-220
CSC090N12S2,下载,120,75,7,9,3,PDFN5*6
CSC027N10S2A,下载,100,320,2,2.3,2.9,TO-220
CSC020N10S2A,下载,100,350,1.75,2,2.9,TO-220
CSB020N10S2,下载,100,350,1.6,2,2.9,TO-263
CSW020N10S2,下载,100,350,1.55,2,2.9,TO-247
CSP020N10S2,下载,100,350,1.75,2,2.9,TO-220
CST015N10S2,下载,100,400,1.15,1.5,2.9,TOLL
CSLS090N12S2,下载,120,75,7,9,3,PDFN5*6
CSA090N12S2,下载,120,16,7.8,9,3,TO-220F
CST065N15S2,下载,150,180,5.6,6.5,3,TOLL
CSW020N08S2,下载,80,300,1.9,2.3,2.8,TO-247
CST025N10S2,下载,100,300,1.85,2.5,2.9,TOLL
CSW030N08S2,下载,80,225,2.4,3,2.8,TO-247
CSB030N08S2,下载,80,225,2.3,3,2.8,TO-263
CSP030N08S2,下载,80,225,2.5,3,2.8,TO-220
CSW024N10S2,下载,100,300,2.1,2.4,2.8,TO-247
CSB024N10S2,下载,100,300,2,2.4,2.8,TO-263
CSP024N10S2,下载,100,300,2.2,2.4,2.8,TO-220
CSW023N06S2,下载,60,240,1.8,2.2,1.7,TO-247
CSB023N06S2,下载,60,240,1.7,2.2,1.7,TO-263
CSP023N06S2,下载,60,240,1.9,2.2,1.7,TO-220
CSB020N06S2,下载,60,330,1.5,2,2.8,TO-263
CSP020N06S2,下载,60,330,1.7,2,2.8,TO-220
CSW016N08S2,下载,80,330,1.4,1.6,2.8,TO-247
CSB016N08S2,下载,80,300,1.3,1.6,2.8,TO-263
CSP016N08S2,下载,80,300,1.5,1.7,2.8,TO-220
CST050N15S2,下载,150,200,4,5,3.1,TOLL
CST024N10S2,下载,100,300,1.75,2.4,2.8,TOLL
CST015N06S2,下载,60,330,1.2,1.5,2.8,TOLL
CST010N08S2,下载,80,350,0.85,1,2.8,TOLL
CSP015N03S2,下载,30,250,1.3,1.5,1.6,TO-220
CSLS400N20S2A,下载,200,40,32.5,40,3.1,PDFN5*6
CSLS035N04S2,下载,40,90,3,3.5,1.8,DFN5*6
CSLS030N03S2,下载,30,100,2.6,3,1.8,DFN5*6
CSLS022N08S2,下载,80,150,1.8,2.2,2.8,DFN5*6
CSLS022N04S2,下载,40,150,1.8,2.2,1.8,PDFN5*6
CSLS016N04S2,下载,40,180,1.3,1.6,1.7,PDFN5*6
CSL010N04S2,下载,40,250,0.8,1,1.7,PDFN5*6
CSD026N03S2,下载,30,100,2.3,2.6,1.8,TO-252
CSB012N03S2,下载,30,300,1,1.2,1.6,TO-263
CSA042N10S2,下载,100,65,3.8,4.2,2.8,TO-220F
CSB110N10M1,下载,100,65,9.3,11,2.8,TO-263
CSP110N10M1,下载,100,65,9.3,11,2.8,TO-220
CSB100N10M1L,下载,100,65,8,10,1.9,TO-263
CSP100N10M1L,下载,100,65,8,10,1.9,TO-220
CSB080N10M1,下载,100,93,6.8,8,2.8,TO-263
CSP080N10M1,下载,100,93,6.8,8,2.8,TO-220
CSB062N15M1,下载,150,135,5,6.2,3.2,TO-263
CSP062N15M1,下载,150,135,5,6.2,3.2,TO-220
CSB039N10M1,下载,100,210,3,3.9,3,TO-263
CSP039N10M1,下载,100,210,3.2,3.9,3,TO-220
CSB029N10M1,下载,100,220,2.4,2.9,2.8,TO-263
CSP029N10M1,下载,100,220,2.6,3.1,2.8,TO-220
CSB026N10M1,下载,100,260,2.3,2.6,2.7,TO-263
CSP026N10M1,下载,100,260,2.3,2.6,2.8,TO-220
CSW020N10M1,下载,100,270,1.6,2,2.8,TO-247
CSB020N10M1,下载,100,270,1.6,2,2.8,TO-263
CSP020N10M1,下载,100,270,1.8,2,2.8,TO-220
CSW062N15M1,下载,150,158,5.2,6.2,3.2,TO-247
CST034N10M1,下载,100,230,2.8,3.4,2.8,TOLL
CST024N10M1,下载,100,290,2,2.4,2.8,TOLL
CST020N10M1,下载,100,300,1.5,2,2.7,TOLL
CSLS180N10M1L,下载,100,35,14.5,18,1.9,PDFN5*6
CSLS180N10M1,下载,100,35,15.5,18,3.2,PDFN5*6
CSLS110N10M1,下载,100,60,8.9,11,2.8,PDFN5*6
CSLS100N10M1L,下载,100,60,8,10,1.9,PDFN5*6
