产品网址：http://en.toppcb.com/product/5
产品结构：root->Tech.&Products_Tech.&Products_PRINTRONICSCIRCUITCORP.

|产品名称|产品型号|功能描述|
|--|--|--|
|Step board|无|无|
|Immersion Silver surface|无|无|
|Immersion Tin surface|无|无|
|Multi-layer PCB with different solder mask colors|无|无|
|Multi-Layer Board with black solder mask|无|无|
|1 step HDI|Layer: 8<br>Board Thickness: 1.0mm<br>Min. Line/Space: 0.075/0.075mm<br>Surface: Immersion Gold|无|
|Rigid Flex Board|Layer: 4<br>Board Thickness: 1.7mm<br>Min. Line/Space: 0.1/0.1mm<br>Surface: Immersion Gold|无|
|1-side 2-layer Aluminum Board|Layer: 3<br>Board Thickness: 2.0mm<br>Min.Line/Space: 0.3/0.3mm<br>Surface: HASL Leaded|无|
|2-Step HDI|Layer: 8<br>Board Thickness: 1.2mm<br>Min. Line/Space: 0.1/0.1mm<br>Surface: OSP|无|
|step HDI with fine pitch|Layer: 8<br>Board Thickness: 0.8mm<br>Min. Line/Space: 0.075/0.075mm<br>Surface: Immersion Gold+OSP|无|
|2 step HDI|Layer: 8<br>Board thickness: 1.2 mm<br>Min.Line/Space: 0.075/0.075mm<br>Surface: Immersion Gold|无|
|16 Layer Board|Layer: 16<br>Board Thickness: 2.4mm<br>Min. Line/Space: 0.1/0.1mm<br>Surface: Immersion Gold|无|
|Military high layer board|Layer: 12<br>Board Thickness: 2.0mm<br>Min. Line/Space: 0.1/0.1mm<br>Surface: Immersion Gold|无|
|power supply board|Layer: 10<br>Board Thickness: 2.9mm<br>Min.Line/Space: 0.2/0.2 (2 OZ copper)<br>Surface: HASL Lead free|无|
|Normal Board|Layer: 8<br>Board Thickness: 1.9mm<br>Min.Line/Space: 0.5/0.15mm<br>Surface: Immersion Gold with deep routing|无|
|10 Layer rigid flex board|Layer: 10<br>Board Thickness: 1.9mm<br>Min. Line/Space: 0.1/0.1mm<br>Surface: Immersion Gold|无|
