产品网址：https://www.coolsemi.com/product/SiC%20SBD
产品结构：root->SiCSBD-产品中心-功成半导体_上海功成半导体公司

|产品名称|产品型号|功能描述|
|----|----|----|
|碳化硅二极管|CDF08G065D2、CDF10G065D2、CDF15G065D2、CDH08G065D2、CDH10G065D2、CDH15G065D2、CDI08G065D2、CDI10G065D2、CDI15G065D2、CDK08G065D2、CDK10G065D2、CDK15G065D2、CDM08G065D2、CDM10G065D2、CDM15G065D2、CDW16G065D2、CDW20G065D2、CDW30G065D2、CDWD08G065D2、CDWD10G065D2、CDWD15G065D2|与 Si 二极管相比，显著优点是阻断电压提高，几乎无反向恢复以及更好的热稳定性，且反向恢复特性不受温度影响。结合了肖特基结构所拥有的出色的开关特性和 PiN 结构所拥有的低漏电流的特点|

Product,Data Sheet,VR(V),IF(A),VF(TJ =25℃) (V),TJ(Min.) (℃),TJ(Max.) (℃),IFSM (A),Package
具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,具体参数，测试条件依据Data Sheet报告内容为主；0为待确认,
CDH08G065D2,下载,650,8,1.23,-55,175,100,TO-220-2
CDI08G065D2,下载,650,8,1.23,-55,175,100,TO-220I-2
CDF08G065D2,下载,650,8,1.23,-55,175,100,TO-220F-2
CDM08G065D2,下载,650,8,1.23,-55,175,100,TO-252-2
CDWD08G065D2,下载,650,8,1.23,-55,175,100,TO-247-2
CDK08G065D2,下载,650,8,1.23,-55,175,100,TO-263-2
CDH10G065D2,下载,650,10,1.29,-55,175,100,TO-220-2
CDI10G065D2,下载,650,10,1.29,-55,175,100,TO-220I-2
CDF10G065D2,下载,650,10,1.29,-55,175,100,TO-220F-2
CDM10G065D2,下载,650,10,1.29,-55,175,100,TO-252-2
CDWD10G065D2,下载,650,10,1.29,-55,175,100,TO-247-2
CDK10G065D2,下载,650,10,1.29,-55,175,100,TO-263-2
CDH15G065D2,下载,650,15,1.42,-55,175,100,TO-220-2
CDI15G065D2,下载,650,15,1.42,-55,175,100,TO-220I-2
CDF15G065D2,下载,650,15,1.42,-55,175,100,TO-220F-2
CDM15G065D2,下载,650,15,1.42,-55,175,100,TO-252-2
CDWD15G065D2,下载,650,15,1.42,-55,175,100,TO-247-2
CDK15G065D2,下载,650,15,1.42,-55,175,100,TO-263-2
CDW16G065D2,下载,650,16,1.23,-55,175,100,TO-247-3
CDW20G065D2,下载,650,20,1.29,-55,175,100,TO-247-3
CDW30G065D2,下载,650,30,1.42,-55,175,100,TO-247-3
