产品网址：https://www.holychip.cn/Applications/index/id/63.html
产品结构：首页->应用资料->HA资料包

|产品名称|产品型号|功能描述|
|----|----|----|
|雾化专用单片机|无|无|
|手电专用单片机|无|无|
|充电器专用芯片|无|无|
|锂电充放电管理芯片|无|无|
|电机驱动|无|无|
|LDO|无|无|
|车规 LDO|无|无|
|协议芯片|无|无|
|MOS|无|无|
|OTP 烧录器|无|无|
|OTP 仿真器|无|无|
|8051 烧录器|无|无|
|8051 仿真器|无|无|
|8051 多文件烧录器|无|无|
|MTP 烧录器|无|无|
|MTP 仿真器|无|无|
|开发辅助工具|无|无|
|SDK 配套资料|无|无|
|驱动|无|无|
|旧版工具资料合集|无|无|
|新版工具测试版|无|无|
|红外模拟探头额温枪方案|无|无|
|电源产品|无|无|
|血氧仪方案|无|无|
|HA 资料包|无|无|
|照明与显示|无|无|
|通讯产品|无|无|
|芯圣电子兼容 STM8S 系列 MCU 配套资料大全|无|无|

名称,日期
HC88T36x1配套,2022-07-27
HC89F3xx1B配套,2022-07-07
触摸资料V1.06,2022-07-07
