产品网址：https://www.holychip.cn/Development/index/id/44.html
产品结构：首页->开发工具->OTP仿真器->产品详情

|产品名称|产品型号|功能描述|
|--|--|--|
|OTP 仿真器|HC-ICD|Holychip In-Circuit Debugger|




标题,资料内容,日期
安装指南,OTP调试_HC-ICD-V4_安装手册,2020-12-14
安装指南,OTP调试_HC-ICD-V4_安装教学视频,2020-11-08
使用指南,OTP调试_HC-ICD-V4_使用手册,2024-04-09
使用指南,OTP调试_HC-ICD-V4_使用教学视频,2020-11-08
应用指南,OTP调试_HC-ICD-V4_问题解决指南,2020-11-08
驱动指南,驱动安装手册,2020-12-14
驱动指南,驱动安装教学视频,2020-11-08
驱动下载,HC-DRIVER V3.0.4.0,2020-11-08
软件下载,HCIDE_V3.0.17.10S,2024-04-24
软件下载,HC-IDE  V3.0.16.0,2023-07-12
硬件购买,HC-ICD V4,2020-11-08
固件更新,HC-ICD  固件更新工具,2023-07-14


名称,日期
HCIDE_V3.0.16.0,2023-08-19
HCIDE_V3.0.17.10S,2024-04-24
HC-ICD 固件更新工具.zip,2023-07-14
C语言例程代码,2023-08-19
TL0101_OTP调试_HC-ICD-V4_安装手册_Ver1.00_cn,2023-08-19
TL0102_OTP_MTP编译_仿真器使用手册_Ver8.00_cn,2024-04-09
