产品网址：http://www.hkhonm.com/product_detail/72.html
产品结构：root->HK5260M2-山东华科半导体研究院有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|HK 机架式服务器|HK5260M2|是为满足虚拟化、数据库（OLAP/OLTP）、CRM、SAP HANA、高性能计算（HPC）等计算密集型场景，基于全新一代英特尔® 至强 ® 可扩展处理器设计的一款 2U4 路机架式服务器。该产品保持了华科服务器一贯的高品质、高可靠的表现，将极致的设计理念运用在性能、存储、扩展方面，在计算性能、可扩展性、配置弹性、智能管理等方面，实现极致创新与突破，特别适合对服务器有苛刻要求的通信、金融、大型企业、互联网等用户。|

组件,描述
处理器,处理器类型：  支持  2/4  颗  Skylake&Cascadelake  英特尔  ® 至强  ® 可扩展处理器支持  81/82/61/62/51/52  系列，TDP 205W
芯片组,芯片组：  Intel® C620 Series Chipset
内存,"内存类型：DDR4  RDIMM/LRDIMM  2400/2666MHZ,  支持  NVDIMM  内存插槽数：48个  内存总容量：最大支持  3072GB（单条 64GB）"
I/O接口,USB 接口：1个前置  USB  3.0  接口，1个前置  USB  2.0  接口，2个后置  USB  3.0  接口，1个内置  USB  3.0  接口  VGA 接口：1个前置  VGA  接口 1个后置  VGA  接口  串行接口：1个后置系统串口，1个内置  BMC  Debug  串口
显示控制器,控制器类型：AST2500 芯片内集成，最大分辨率支持 1920*1200
PCIE扩展,PCIE 扩展插槽：  主板板载 3 个 PCI Express 3.0 x24 slots，用于支持 PCI-E Riser 卡  Riser  卡支持横插、全高卡。  主板板载 1 个 Type A/C slot（用于支持 OCP/PHY 卡）
硬盘,硬盘类型：  硬盘支持  SSD/SATA/SAS/NVME  硬盘最大支持  24  块  2.5  寸  SSD/SATA/SAS  硬盘；最大支持  6  块  NVME  硬盘
外部存储驱动器,光驱：支持外插  USB 光驱。  驱动  TF 卡：内置驱动  TF 卡
电源,规格：双电  800W/1300W/1600W/2000W/，及其以上输出功率；1+1 冗余；  电源输入：请以主机铭牌标签上的电源输入值为准。
物理规格,包装箱外尺寸：780 长度包装箱：671  宽  × 302  高  × 1033  深（单位：mm）  主机尺寸：780 长度机箱：485 宽 × 93  高  × 790  深（单位：mm）  产品重量：  毛重：38.2kg。（毛重包括：主机  + 包装箱 + 导轨 + 配件盒）  满配  2.5*24  盘位（24  块硬盘时）
环境参数,工作环境温度：10℃-35℃  贮存运输温度：-40℃-60℃  工作湿度：20％-80％相对湿度  贮存运输湿度：20％-93％（40℃）相对湿度
