产品网址：http://en.eliteoptronics.com/chipDetector/index.htm
产品结构：root->OpticalChipProducts-WuhanEliteOptronicsCo.,Ltd

|产品名称|产品型号|功能描述|
|--|--|--|
|Detector|1310nm 2.5G FP chip|无|
|Detector|1310nm 10G FP chip|无|
|Detector|1270nm 2.5G DFB chip|无|
|Detector|1310nm 2.5G DFB Chip|无|
|Detector|1490nm 2.5G DFB chip|无|
|Detector|1310nm 10G DFB chip|无|
|Detector|10G BiDi 1270/1330nm DFB chip|无|
|Detector|10G CWDM 1271/1291/1311/1331/1351/1371nm DFB chip|无|
|Detector|10G CWDM 1471/1491/1511/1531/1551/1571nm DFB chip|无|
|Detector|1310nm 25G DFB chip|无|
|Detector|25G BiDi 1270/1330nm DFB chip|无|
|Detector|25G CWDM4 DFB Chip|无|
|Detector|1550nm 10G EML chip|无|
|Detector|1310nm 25G EML chip|无|
|Detector|2.5G PIN PD chip|无|
|Detector|10G PIN PD chip|无|
|Detector|25G PIN PD chip|无|
|Detector|4*25G PIN PD chip|无|
|Detector|50G PIN PD Chip|无|
