产品网址：https://www.axera-tech.com/Solution/3.html
产品结构：首页->解决方案->智能IoT

|产品名称|产品型号|功能描述|
|--|--|--|
|智能驾驶芯片|爱芯元速——M55H、M76H|自动驾驶工程化平台：xADEP|
|智能黑光视觉芯片|AX620A、AX620U、AX650A、AX650N、AX630C、AX620Q|无|
|智能视觉芯片|XS7320、XS7310|无|
|轻智能视觉芯片|XS7312Q、XS7302|无|
|同轴高清 TX|XS5018A、XS5018B、XS5032、XS5021C|无|
|同轴高清 RX|XS9931B、XS9922A、XS9922B、XS9950|无|
|数模混合|XS2180、XS2184、XS2186、XS2100S、XS2103S/D、XS2105S、XS2108、XS2120、XS2121、XS2123|无|
|智能算力盒|无|32 路 1080p30fps 解码，超强算力，低功耗<5w，双路 4K60fps HDMI 输出，助力高性能小型化算力部署|
|家用双向视频通话摄像头|无|视频流畅、高效节能、小巧便携、双向视频通话，自研变焦、AI 超分算法及黑光全彩 ISP，视频效果卓越|
|爱芯派 Pro|无|拥有高算力和超强编解码能力，满足高性能边缘智能计算需求，支持 CNN 模型和 Transformer 视觉大模型|
