产品网址：http://www.mk-dz.cn/Product/RR
产品结构：你的位置：首页->产品推荐->其它元器件

|产品名称|产品型号|功能描述|
|----|----|----|
|CD4628/CYTM4628 国产军工级双通道 8A 或单通道 16A DC/DC|无|DC/DC 微模块稳压器；输入电压：4.5V~26.5V；输出电压：0.6V~5.5V；输出电流：单通道 16A 或双通道 8A；温度范围：-40℃~125℃|
|CD4630/CYTM4630 国产军工级双输出 18A 或单输出 36A DC/DC|无|DC/DC 微模块稳压器；输入电压：4.5V~18V；输出电压：0.6V~5.5V；输出电流：单通道 36A 或双通道 18A；温度范围：工业级-40℃~125℃|
|CD4620/CYTM4620 国产军工级双通道 13A 或单通道 26A DC/DC|无|DC/DC 微模块稳压器；输入电压：4.5V~16V；输出电压：0.6V~5.5V；输出电流：单通道 26A 或双通道 13A；温度范围：-40℃~125℃|
|CD4644/CYTM4644 国产军工级单通道 16A 或四通道 4A DC/DC|无|DC/DC 微模块稳压器；输入电压：4V~14V；输出电压：0.6V~5.5V；输出电流：单通道 16A 或四通道 4A；温度范围：-40℃~125℃|
|CD4650/CYTM4650 国产军工级双通道 25A 或单通道 50A DC/DC|无|DC/DC 微模块稳压器；输入电压：4.5V~16V；输出电压：0.6V~5.5V；输出电流：单通道 50A 或双通道 25A；温度范围：-40℃~125℃|
|军工级/工业级 357 光耦 国产高压光耦 357|无|电流转换比（CTR）范围：80%-600%（IF=5mA，VCE=5V）；输入-输出隔离电压（Viso=3750Vrms）；集电极-发射极击穿电压 BVCEO≥...|
|军工级/工业级 3H7 光耦 国产高压光耦 3H7|无|电流转换比（CTR）范围：50%-600%（IF=5mA，VCE=5V）；输入-输出隔离电压（Viso=3750Vrms）；封装形式：SSOP-4|
|军工级/工业级光固态继电器 214 光电耦合继电器 214|无|常开，单刀单掷控制 400V 交流或直流电压开关 120mA 负载控制低电平模拟信号高灵敏度，低导通电阻低电平断态漏电流高隔离电压 5kV。封装形式：SMD-8、DIP-...|
|军工级/工业级 6N137 光耦 国产高速光耦 6N137|无|非常高的速度：10MBit/s；优越的共模抑制比 CMRR：10kV/μs；逻辑门输出；高隔离耐压（VISO=5000Vrms）；先通输出|
|军工级/工业级 3120 光耦 国产储能逆变 IGBT 专用光耦 3120|无|35kV/μs 最小共模抑制；2.5A 峰值输出电流驱动能力，适用于最大 1200V/120A 的 IGBT；输出级采用 P-沟道 MOSFET，使输出电压振幅可接...|
