产品网址：https://www.shiningic.com/zh/producterlist.aspx?classid=010113
产品结构：当前位置首页->产品中心->DC-DC直流转换

|产品名称|产品型号|功能描述|
|----|----|----|
|DC-DC 直流转换|无|无|

序号,型号,产品类型,输入电压(V),限流(A),开关频率(MHz),输出电压(V),参考电压精度,静态电流(uA),封装,产品特性功能
1,YX6220*,LDO,6.5,-,-,1.2-5,-,90.0,SC70-5、SOT23-5、TSOT23-5、WDFN(2*2)-6、MSOP8,极低噪声给RF应用，瞬态响应块，启动块，CE功能
2,YX6219,LDO,6.5,-,-,0.8-3.45,-,300.0,SOT89-3、SOT23-3、SOT23-5、DFN(1*1)-4、DFN(2*2)-6,CE功能，输出可调
3,YX6208,LDO,9,-,-,1.5-5,-,300.0,SOT23、SOT23-3、SOT89-3、TO-92,低功耗，负载瞬间响应好，带载能力强
4,YX5502,降压(BUCK)转换器,2.5-5.5,2,1.5,/,0.6V ±2&b,35.0,SOT23-5、SOT-563,打嗝试短路保护，连续导通模式(FCCM)
5,YX5183,降压(BUCK)转换器,4.5-18,3,0.55,/,0.768/0.806 ±2&b,380.0,TSOT23-6、SOT-563,打嗝试短路保护，连续导通模式(FCCM)
6,YX5180,降压(BUCK)转换器,5.5-60,0.2,0.5,/,0.812 ±2&b,7.0,SOT23-6,宽输入电压范围
7,YX3608,升压转换器(BOOST),2-24,4,1.2,28(MAX),0.6V ±2&b,0.1,SOT23-6,异步升压，输出电压可调
8,YX3605,升压转换器(BOOST),2.6-5.5,0.5-2.5,1,12(MAX),0.6V ±2&b,190.0,SOT23-6,异步升压，过流保护点可调
9,YX2119,升压转换器(BOOST),0.9-3.6,0.8,0.35,2.5-3.6,±2&b,7.0,SOT23、SOT23-5、SOT89-3,超低静态电流，PFM
10,YX2127,升压转换器(BOOST),0.9-3,1,1.2,2.2-3,1.15V ±2&b,1.0,SOT23-6、DFN2*2-6,超低静态电流，IC关断时输出断开
11,YX2117,升压转换器(BOOST),0.9-5,1,1.2,3-5.1,1.15V ±2&b,1.0,SOT23-6、DFN2*2-6,超低静态电流，IC关断时输出断开
