产品网址：https://www.shiningic.com/zh/producterlist.aspx?classid=010111
产品结构：当前位置首页->产品中心->太阳能LED照明驱动

|产品名称|产品型号|功能描述|
|----|----|----|
|太阳能 LED 照明驱动|无|无|

序号,产品型号,产品类型,输入电压(V),输入电流(mA),静态功耗(uA),转换效率(%),开关频率(KHz),外围器件,封装,特点
1,YX1102,路灯,0-5,3000,3,90,60-300,3R+C,ESOP16,3.2V/3.7V锂电供电可选过充、过放保护电池防反接PWM曲线调光阶梯放电
2,YX8628H,灯串,0.9-3.3,400,9,90,60-300,L+C+R,SOP8,太阳能应用适用于两路无极LED灯串轻触功能切换
3,YX8615H*,灯串,0.9-1.5,200,26,85,100-150,L,TO95、SOT23-5,闪烁频率固定1HZ
4,YX861A,灯串,0.9-2.7,80,43,85,140-250,L+C+2R,SOP8,闪烁、亮灭时间可分别调节
5,YX8185*,草坪灯,2.5-3.7,外挂MOS,3,/,/,C+3R,ESOP8,3.2V/3.7V锂电池供电可选，带曲线放电，带过充、过放保护
6,YX8184L,草坪灯,2.5-3.7,600,18,95,/,C+3R,SOP8,3.2V磷酸铁锂电池，带恒流，定时调光、带过充、过放保护
7,YX8184,草坪灯,2.7-4.2,400,20,95,/,C+3R,SOP8,3.7V锂电池，带恒流，定时调光、带过充、过放保护
8,YX8180,草坪灯,2.7-4.2,300,20,95,/,C+R,SOT23-5,3.2V/3.7V锂电充电可选，带过充、过放保护
9,YX8301,草坪灯,0.9-3.3,400,16,85,60-300,2C+L,SOT23-5,太阳能+PFM DC DC升压
10,YX805F,草坪灯,0.8-1.5,150,30,83,100-250,L,TO94、SOT23-5,带过放保护大电流
11,YX8018,草坪灯,0.9-1.5,40,22,83,200-340,L,TO94、SOT23-6,可用于一节1.2v电池小电流自适应
