产品网址：https://www.zhmsemi.com/products/industrial_igbt_module/drivez34.html
产品结构：root

|产品名称|产品型号|功能描述|
|----|----|----|
|DriveZ34|无|A. Low Swithing Losses<br>B. Low VCE(sat)<br>C. Low Stray Inductance|

Package,Product,Vces(V),Ic(A),VCE(sat)(V),Configuration,typical value @Tj=25℃,typical value @Tj=25℃.1,typical value @Tj=25℃.2
Package,Product,Vces(V),Ic(A),VCE(sat)(V),Configuration,VF(V),Eon(mJ),Eoff(mJ)
DriveZ34,2A75M07S1P,650,75,1.60,Half Bridge,1.60,0.71,2.31
DriveZ34,2A100M07S1P,650,100,1.60,Half Bridge,1.60,0.78,2.52
DriveZ34,2A150M07S1P,650,150,1.50,Half Bridge,1.60,1.4,4.2
DriveZ34,2A200M07S1P,650,200,1.50,Half Bridge,1.60,1.7,6.1
DriveZ34,2A50ZF120S1P,1200,50,3.10,Half Bridge,2.10,3.9,1.3
DriveZ34,2A75ZF120S1P,1200,75,3.10,Half Bridge,1.90,7.1,1.9
DriveZ34,2A100ZF120S1P,1200,100,3.10,Half Bridge,1.90,10.9,2.9
DriveZ34,2A75ZL120S1P,1200,75,1.95,Half Bridge,2.40,7.1,5.7
DriveZ34,2A100ZL120S1P,1200,100,1.95,Half Bridge,1.80,3.8,7.1
DriveZ34,2A150ZL120S1P,1200,150,1.95,Half Bridge,1.70,15.1,7.0
DriveZ34,CHA75ZL120S1P,1200,75,1.95,Chopper High,2.40,7.1,5.7
DriveZ34,CHA100ZL120S1P,1200,100,1.95,Chopper High,1.80,3.8,7.1
DriveZ34,CHA150ZL120S1P,1200,150,1.95,Chopper High,1.70,15.1,7.0
DriveZ34,CLA75ZL120S1P,1200,75,1.95,Chopper Low,2.40,7.1,5.7
DriveZ34,CLA100ZL120S1P,1200,100,1.95,Chopper Low,1.80,3.8,7.1
DriveZ34,CLA150ZL120S1P,1200,150,1.95,Chopper Low,1.70,15.1,7.0
DriveZ34,2A80B07H1P,650,80,1.45,Half Bridge,1.45,059,1.28
