产品网址：https://www.lynxi.com/lingqiKA2001/36.html
产品结构：产品中心类脑计算服务器->领启®KA200(-S)系列->SL400

|产品名称|产品型号|功能描述|
|--|--|--|
|类脑计算服务器|SL400|基于海光国产通用处理器、灵汐科技自研的类脑计算芯片 KA200 构建的一款集大容量内存、多盘位存储、多 GPU 卡扩展的双路机架式 1U 服务器。整机作为国产化高性能硬件平台，具备丰富的扩展性，支持配置数据中心级 GPU 卡，可为深度学习训练和推理平台提供强大的算力支撑。非常适用于公安、政府、交通、邮政、电信、能源、金融、文教卫等对 AI 服务器性能、可扩展性及可靠性要求苛刻的行业数据中心和高可用环境。|

规格,1U 机架式标准机箱
类脑计算卡,HP201 类脑计算卡，数量支持 1～4 个
CPU,支持HG3285、HG3250
内存,DDR4×4，最大支持128GB内存
硬盘,板载：M.2×2
GPU,可选支持最多4张半长单宽显卡或GPU卡，单卡功率75W
散热,支持风扇智能控速，搭配模组4056FAN×7
显卡,集成显示控制器，32MB 显存，最大分辨率 1920x1080
网络接口,千兆IPMI管理端口×1  板载千兆电口×4  10GbE光口×2（选配）
USB接口,前置：USB2.0接口×2  后置：USB3.0接口×4
VGA接口,后置：VGA接口×1
硬盘接口,板载：M.2接口×2
PCIe扩展能力,PCIe 3.0 x16扩展槽×4
内存插槽数,内存插槽×4
按键,电源按钮×1  UID按键×1  Reset按键×1
电源,CRPS550W×2，1＋1冗余
电压,支持220V AC和240V HVDC双输入
