产品网址：https://www.njsme.com/?aPRODUCTSPRODUCTSA600V/50.html
产品结构：root->PIMIGBT-1200V-PIMIGBT-南京银茂微电子制造有限公司-

|产品名称|产品型号|功能描述|
|----|----|----|
|PIM IGBT|PIM IGBT-1200V|无|

VCES=1200V,VCES=1200V.1,VCES=1200V.2,VCES=1200V.3,VCES=1200V.4,VCES=1200V.5
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT10PI120B2H,1200,10,Trench FS,2-clip,
GT10PI120B2FH,1200,10,Trench FS,4-clip,
GT15PI120B2H,1200,15,Trench FS,2-clip,
GT15PI120B2FH,1200,15,Trench FS,4-clip,
GTS10PI120B2H,1200,10,Trench FS,2-clip,
GTS10PI120B2FH,1200,10,Trench FS,4-clip,
GTS15PI120B2H,1200,15,Trench FS,2-clip,
GTS15PI120B2FH,1200,15,Trench FS,4-clip,
,,,,,
,,,,,
VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT10PI120B3H,1200,10,Trench FS,solder pins/pressfit pins,
GT15PI120B3H,1200,15,Trench FS,solder pins/pressfit pins,
GTS10PI120B3H,1200,10,Trench FS,solder pins/pressfit pins,
GTS15PI120B3H,1200,15,Trench FS,solder pins/pressfit pins,
,,,,,
,,,,,
VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT15PI120B9H,1200,15,Trench FS,solder pins/pressfit pins,
GT25PI120B9H,1200,25,Trench FS,solder pins/pressfit pins,
GT35PI120B9H,1200,35,Trench FS,solder pins/pressfit pins,
GTS15PI120B9H,1200,15,Trench FS,solder pins/pressfit pins,
GTS25PI120B9H,1200,25,Trench FS,solder pins/pressfit pins,
GTS40PI120B9H,1200,40,Trench FS,solder pins/pressfit pins,
,,,,,
,,,,,
VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT10PI120C6H,1200,10,Trench FS,,
GT15PI120C6H,1200,15,Trench FS,,
GT25PI120C6H,1200,25,Trench FS,,
GTS10PI120C6H,1200,10,Trench FS,,
GTS15PI120C6H,1200,15,Trench FS,,
GTS25PI120C6H,1200,25,Trench FS,,
,,,,,
,,,,,
VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT15PI120C7H,1200,15,Trench FS,,
GT25PI120C7H,1200,25,Trench FS,,
GT40PI120C7H,1200,40,Trench FS,,
GTS15PI120C7H,1200,15,Trench FS,,
GTS25PI120C7H,1200,25,Trench FS,,
GTS40PI120C7H,1200,40,Trench FS,,
,,,,,
,,,,,
VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT10PI120T5H,1200,10,Trench FS,,
GT15PI120T5H,1200,15,Trench FS,,
GT25PI120T5H,1200,25,Trench FS,,
GT40PI120T5H,1200,40,Trench FS,,
GT50PI120T5H-M,1200,50,Trench FS,,
GTS10PI120T5H,1200,10,Trench FS,,
GTS15PI120T5H,1200,15,Trench FS,,
GTS25PI120T5H,1200,25,Trench FS,,
GTS40PI120T5H,1200,40,Trench FS,,
,,,,,
,,,,,
VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT10PI120T5H-T4,1200,10,Trench FS,,
GT15PI120T5H-T4,1200,15,Trench FS,,
GT25PI120T5H-T4,1200,25,Trench FS,,
GT40PI120T5H-T4,1200,40,Trench FS,,
GT50PI120T5H-T4M,1200,50,Trench FS,,
GTS10PI120T5H-T4,1200,10,Trench FS,,
GTS15PI120T5H-T4,1200,15,Trench FS,,
GTS25PI120T5H-T4,1200,25,Trench FS,,
GTS40PI120T5H-T4,1200,40,Trench FS,,
,,,,,
,,,,,
VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT50PI120T6H-M,1200,50,Trench FS,,
GT75PI120T6H-M,1200,75,Trench FS,,
GT100PI120T6H-M,1200,100,Trench FS,,
,,,,,
,,,,,
VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V,VCES=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series,Trench T Series
GT50PI120T6H-T4M,1200,50,Trench FS,,
GT75PI120T6H-T4M,1200,75,Trench FS,,
GT100PI120T6H-T4M,1200,100,Trench FS,,
GT150PI120T6H-T4M,1200,150,Trench FS,,
,,,,,
