产品网址：https://www.njsme.com/?aPRODUCTSPRODUCTSA600V/47.html
产品结构：root->PIMIGBT-600V-PIMIGBT-南京银茂微电子制造有限公司-

|产品名称|产品型号|功能描述|
|----|----|----|
|PIM IGBT|PIM IGBT-600V|无|

VCES=600V,VCES=600V.1,VCES=600V.2,VCES=600V.3,VCES=600V.4,VCES=600V.5
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK10PI60B2H,600,10,NPT,2-clip,
GK10PI60B2FH,600,10,NPT,4-clip,
GK20PI60B2H,600,20,NPT,2-clip,
GK20PI60B2FH,600,20,NPT,4-clip,
,,,,,
,,,,,
VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK10PI60B3H,600,10,NPT,solder pins/pressfit pins,
GK20PI60B3H,600,20,NPT,solder pins/pressfit pins,
,,,,,
,,,,,
VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK30PI60B9H,600,30,NPT,solder pins/pressfit pins,
GK50PI60B9H,600,50,NPT,solder pins/pressfit pins,
,,,,,
,,,,,
VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK10PI60C6H,600,10,NPT,,
GK20PI60C6H,600,20,NPT,,
GK30PI60C6H,600,30,NPT,,
,,,,,
,,,,,
VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK35PI60C7H,600,35,NPT,solder pins/pressfit pins,
GK50PI60C7H,600,50,NPT,solder pins/pressfit pins,
,,,,,
,,,,,
VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK10PI60T5H,600,10,NPT,,
GK20PI60T5H,600,20,NPT,,
GK35PI60T5H,600,35,NPT,,
GK50PI60T5H,600,50,NPT,,
,,,,,
,,,,,
VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK10PI60T5H-T4,600,10,NPT,,
GK20PI60T5H-T4,600,20,NPT,,
GK35PI60T5H-T4,600,35,NPT,,
GK50PI60T5H-T4,600,50,NPT,,
,,,,,
,,,,,
VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK50PI60T6H,600,50,NPT,,
GK75PI60T6H,600,75,NPT,,
GK100PI60T6H,600,100,NPT,,
,,,,,
,,,,,
VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V,VCES=600V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series,Standard K Series
GK50PI60T6H-T4,600,50,NPT,,
GK75PI60T6H-T4,600,75,NPT,,
GK100PI60T6H-T4,600,100,NPT,,
,,,,,
