产品网址：https://www.njsme.com/?aPRODUCTSCipsWafersCommonCathode/94.html
产品结构：root->Diodes-CommonCathode-CommonCathode-南京银茂微电子制造有限公司-

|产品名称|产品型号|功能描述|
|--|--|--|
|Common Cathode|无|无|

VRRM=1200V,VRRM=1200V.1,VRRM=1200V.2,VRRM=1200V.3,VRRM=1200V.4,VRRM=1200V.5
Part Number,Voltage(V),Current(A),Technology,Comments,Links
DD100CK120A9H,1200,100,High Voltage Planar Diode,fast recovery,
DD150CK120A9H,1200,150,High Voltage Planar Diode,fast recovery,
DD200CK120A9H,1200,200,High Voltage Planar Diode,fast recovery,
,,,,,
,,,,,
VRRM=1200V,VRRM=1200V,VRRM=1200V,VRRM=1200V,VRRM=1200V,VRRM=1200V
Part Number,Voltage(V),Current(A),Technology,Comments,Links
DD100HF120T1WH,1200,100,High Voltage Planar Diode,fast recovery,
DD150HF120T1WH,1200,150,High Voltage Planar Diode,fast recovery,
DD200HF120T1WH,1200,200,High Voltage Planar Diode,fast recovery,
,,,,,
