产品网址：https://www.myrntec.com/riss/35.html
产品结构：root->RISS211型_锐兆方工商业储能RISS系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|锐兆方工商业储能 RISS 系列|RISS211 型|工商业储能系统为用户提供移峰填谷、电力扩容和备用电源等功能服务，降低用电成本。集成锂电池、电池管理系统、能量控制系统、储能变流器以及温控、消防系统于一体。满足充电站、商业楼宇、制造业等使用场景的储能应用需求。|

规格,参数
型号,ESD704-05C211
额定容量,211kWh，25°C@0.5c额定
外尺寸,2200*1400*1400(H*W*D)
重量,约3.0吨
额定直流侧电压,704V
直流侧工作电压,616~805V
最大可充/放电功率,100kw
输出交流最大电流,145A
运行海拔高度,<3000m
冷却方式,液冷
运行环境,-30C-55℃C
电池循环寿命,8000次
充放电效率,>90%
并离网方式(可选),手动/自动
输出方式,三相五线
灭火方式,包内气溶胶加全氟己酮，舱内全氟己酮
系统防护等级,IP54
系统对外协议,RS485/LAN/CAN/4G
交流并网参数,
额定电网电压,400Vac
电压范围,-15%~+15%
额定频率,50Hz
最大输出电流,145A
功率因数,>0.99(额定输出功率)/1(超前)-1(滞后)
离网输出特性,
额定输出电压,400Vac
输出电压精度,1%
最大输出电流,145A
电压失真度,<1%(线性负载)
额定输出频率,50Hz
谐波含量,<3%
认证情况,
符合标准,"GB/T36276，UN38.3,IEC61000,IEC62619，IEC/UL60730"
