产品网址：https://www.myrntec.com/ress/139.html
产品结构：root->RESS2600型_锐魔方户用储能RESS系列_电池总成系统PACK_产品中心_安徽锐能科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|锐魔方户用储能RESS系列|RESS2600 型|魔方式堆叠户储系统将光伏或风力发电能源以及低价市电存储，降低家庭用电支出。也可作为应急电源供一般家用电器、电脑、照明、通信设备等使用。|

产品型号,RESS798,RESS1064,RESS1331,RESS1597
电池模块数量,3,4,5,6
标称电量(kWh),7.98,10.64,13.3,15.96
额定工作电压(V),153.6,204.8,256,307.2
额定充电电流(A),0℃＜T≤5℃，5A  5℃＜T≤15℃，12.5A  15℃＜T≤25℃，25A  25℃＜T≤45℃，25A  45℃＜T＜55℃，12.5A,0℃＜T≤5℃，5A  5℃＜T≤15℃，12.5A  15℃＜T≤25℃，25A  25℃＜T≤45℃，25A  45℃＜T＜55℃，12.5A,0℃＜T≤5℃，5A  5℃＜T≤15℃，12.5A  15℃＜T≤25℃，25A  25℃＜T≤45℃，25A  45℃＜T＜55℃，12.5A,0℃＜T≤5℃，5A  5℃＜T≤15℃，12.5A  15℃＜T≤25℃，25A  25℃＜T≤45℃，25A  45℃＜T＜55℃，12.5A
额定放电电流（A）,25A,25A,25A,25A
防护等级,IP65,IP65,IP65,IP65
使用温度(℃),充电:0~+55;放电:-20~+55,充电:0~+55;放电:-20~+55,充电:0~+55;放电:-20~+55,充电:0~+55;放电:-20~+55
相对湿度,0~95%,0~95%,0~95%,0~95%
冷却方式,自然冷却,自然冷却,自然冷却,自然冷却
通讯接口,RS485/CAN,RS485/CAN,RS485/CAN,RS485/CAN
认证标准,IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000,IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000,IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000,IEC 62477，IEC61619，UN38.3，IEC/UL 60730，IEC/EN 61000
