产品网址：https://www.myrntec.com/en/residential_energy_storage/23.html
产品结构：root->"RuiCube"RESS_ResidentialEnergyStorage_Products_AnhuiRuinengTechnologyCo.,Ltd.

|产品名称|产品型号|功能描述|
|--|--|--|
|Residential Energy Storage|“Rui Cube”RESS|Whole-house power supply for freedom and peace of mind- “Rui Cube ”RESS Series|

Battery module number,3,4,5,6,3.1,4.1,5.1,6.1
Nominal power(kWh),7.98,10.64,13.31,15.97,15.36,20.48,25.6,30.72
Opera tng voltagerange(V),120~175.2,160~233.6,200~292,240~350.4,120-175.2,160-233.6,200~292,240-350.4
Rated opera ingvoltage(V),153.6,204.8,256,307.2,153.6,204.8,256,307.2
Di mens in(LW/H) (mm),660X200X662,660X200X832,660X200X1002,660X200X1172,660X200X976,660X200X1216,660X200X1456,660X200X1696
Weight KG),115,140,165,190,165,210,255,300
Battery module,51.2V-52Ah,51.2V-52Ah,51.2V-52Ah,51.2V-52Ah,51.2V-100Ah,51.2V-100Ah,51.2V-100Ah,51.2V-100Ah
Rated operatingcurrent(Adc),25,25,25,25,100,100,100,100
Cel type,LiFe PO 4,LiFe PO 4,LiFe PO 4,LiFe PO 4,LiFe PO 4,LiFe PO 4,LiFe PO 4,LiFe PO 4
IP rate,IP55,IP55,IP55,IP55,IP55,IP55,IP55,IP55
Installation,Ground Installation,Ground Installation,Ground Installation,Ground Installation,Ground Installation,Ground Installation,Ground Installation,Ground Installation
0Operating temperature,0-+50；-30-+60,0-+50；-30-+60,0-+50；-30-+60,0-+50；-30-+60,0-+50；-30-+60,0-+50；-30-+60,0-+50；-30-+60,0-+50；-30-+60
Relative Humidity,0-95%,0-95%,0-95%,0-95%,0-95%,0-95%,0-95%,0-95%
Coli g Type,Natural cooling,Natural cooling,Natural cooling,Natural cooling,Natural cooling,Natural cooling,Natural cooling,Natural cooling
Communication,RS 485/CAN,RS 485/CAN,RS 485/CAN,RS 485/CAN,RS 485/CAN,RS 485/CAN,RS 485/CAN,RS 485/CAN
Extended interface,Bluetooth、Wireless charging、USB,Bluetooth、Wireless charging、USB,Bluetooth、Wireless charging、USB,Bluetooth、Wireless charging、USB,Bluetooth、Wireless charging、USB,Bluetooth、Wireless charging、USB,Bluetooth、Wireless charging、USB,Bluetooth、Wireless charging、USB
Cycle if e,4000 times,4000 times,4000 times,4000 times,6000 times,6000 times,6000 times,6000 times
