产品网址：http://www.szrd.com/product/detail/55
产品结构：当前位置:首页->光刻胶->半导体照明用

|产品名称|产品型号|功能描述|
|--|--|--|
|半导体照明用光刻胶|RD-2000、RD-4000、RD-6000、RD-NL700 等系列|应用于半导体照明领域，包括图案化蓝宝石衬底（PSS）制作、LED 芯片制作等|




序号,产品序列,主要参数
1,RD-2000  系列,水分：  <0.5%  ；  颗粒  (0.5um  颗粒，个  /ml)  ：  <100；  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <300；  膜厚：  1.0~3.5um；  分辨率：  0.8um(g-line)
2,RD-4000  系列,水分：  <0.5%  ；  颗粒  (0.5um  颗粒，个  /ml)  ：  <100；  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <50；  膜厚：  1.0~4.5um；  分辨率：  0.4um(i-line  曝光  )
3,RD-6000  系列,水分：  <0.5%  ；  颗粒  (0.5um  颗粒，个  /ml)  ：  <100；  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <100；  膜厚：  3.0~15um；  分辨率：  0.65um(i-line  曝光  )
4,RD-NL700  系列,水分：  <0.5%  ；  颗粒  (0.5um  颗粒，个  /ml)  ：  <100；  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <500；  膜厚：  1.8~4.5um；  倒梯形角度：  45~80  °；  分辨率：  1um(g+h+i  曝光  )


序号,产品序列,主要参数
1,RD-2000  系列,水分：  <0.5%  颗粒  (0.5um  颗粒，个  /ml)  ：  <100  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <300  膜厚：  1.0~3.5um  分辨率：  0.8um(g-line)
2,RD-4000  系列,水分：  <0.5%  颗粒  (0.5um  颗粒，个  /ml)  ：  <100  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <50  膜厚：  1.0~4.5um  分辨率：  0.4um(i-line  曝光  )
3,RD-6000  系列,水分：  <0.5%  颗粒  (0.5um  颗粒，个  /ml)  ：  <100  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <100  膜厚：  3.0~15um  分辨率：  0.65um(i-line  曝光  )
4,RD-NL700  系列,水分：  <0.5%  颗粒  (0.5um  颗粒，个  /ml)  ：  <100  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <500  膜厚：  1.8~4.5um  倒梯形角度：  45~80  °  分辨率：  1um(g+h+i  曝光  )
