产品网址：http://www.szrd.com/product/detail/57
产品结构：当前位置:首页->光刻胶->平板显示用

|产品名称|产品型号|功能描述|
|--|--|--|
|平板显示用光刻胶|RD-PFR/PFS、RD-PTL500、RD-PTH800 等系列|应用于平板显示领域，包括 TN/STN-LCD 的 ITO 电极制作、TP 的 ITO 电极、Mo/Al/Mo Sensor 制作、TFT-LCD/OLED 的 TFT 背板制作等|




序号,产品  序列,主要参数
1,RD-PFR/PFS  系列,水分：  <0.5%  ；  颗粒  (0.5um  颗粒，个  /ml)  ：  <100；  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <500；  膜厚：  1.2~2.2um；  分辨率：  2um(g+h+i  曝光  )
2,RD-PTL500  系列,水分：  <0.5%  ；  颗粒  (0.5um  颗粒，个  /ml)  ：  <100；  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <300；  膜厚：  1.4~2.2um  分辨率：  1.5um(g+h+i  曝光  )
3,RD-PTH800  系列,水分：  <0.5%  ；  颗粒  (0.5um  颗粒，个  /ml)  ：  <100；  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <100；  膜厚：  1.4~2.2um；  分辨率：  1.5um(g+h+i  曝光  )


序号,产品序列,主要参数
1,RD-PFR/PFS  系列,水分：  <0.5%  颗粒  (0.5um  颗粒，个  /ml)  ：  <100  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <500  膜厚：  1.2~2.2um  分辨率：  2um(g+h+i  曝光  )
2,RD-PTL500  系列,水分：  <0.5%  颗粒  (0.5um  颗粒，个  /ml)  ：  <100  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <300  膜厚：  1.4~2.2um  分辨率：  1.5um(g+h+i  曝光  )
3,RD-PTH800  系列,水分：  <0.5%  颗粒  (0.5um  颗粒，个  /ml)  ：  <100  痕量金属  (K  、  Na  、  Fe  ，  ppb  ）：  <100  膜厚：  1.4~2.2um  分辨率：  1.5um(g+h+i  曝光  )
