产品网址：http://hi-sensor.com/productinfo/949047.html
产品结构：root->无线电温湿度变送记录仪-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|无线电温湿度变送记录仪|无|采用瑞士原装进口测量单元，测量精度高、抗干扰能力强，内置温湿度报警功能，可进行温湿度报警的上下限及回差设置；可通过液晶按键进行各种报警参数、时间日期等的设定，液晶实时显示温度、湿度、时间和日期、已存储容量、设备地址和信道等；设备内置存储器，温湿度数据实时记录，最大可记录 65535 组，具有 2 路开关量信号输出，可任意关联报警事项输出或用于上下限控制（选配）。|

供电,10~30V DC,10~30V DC.1,10~30V DC.2,10~30V DC.3
功率,0.4W,0.4W,0.4W,0.4W
A准精度,湿度,湿度,"±2%RH(60%RH,25℃)","±2%RH(60%RH,25℃)"
A准精度,温度,温度,±0.4℃（25℃）,±0.4℃（25℃）
B准精度  （默认）,湿度,湿度,"±3%RH(60%RH,25℃)","±3%RH(60%RH,25℃)"
B准精度  （默认）,温度,温度,±0.5℃（25℃）,±0.5℃（25℃）
变送器电路工作温度,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）,-20℃~+60℃，0%RH~95%RH（非结露）
探头工作温度,探头代号：-B宽温探头,探头代号：-B宽温探头,探头代号：-B宽温探头,-40℃~+120℃
探头工作温度,其余探头代号（默认）,其余探头代号（默认）,其余探头代号（默认）,-40℃~+80℃
探头工作湿度,0~100%RH,0~100%RH,0~100%RH,0~100%RH
温度显示分辨率,0.1℃,0.1℃,0.1℃,0.1℃
湿度显示分辨率,0.1%RH,0.1%RH,0.1%RH,0.1%RH
温湿度刷新时间,1s,1s,1s,1s
长期稳定性,湿度,湿度,≤1%RH/y,≤1%RH/y
长期稳定性,温度,温度,≤0.1℃/y,≤0.1℃/y
响应时间,探头代号,探头代号,,
响应时间,其他,湿度,≤8s(1m/s风速),≤8s(1m/s风速)
响应时间,其他,温度,≤25s(1m/s风速),≤25s(1m/s风速)
响应时间,-B,湿度,≤6s(1m/s风速),≤6s(1m/s风速)
响应时间,-B,温度,≤18s(1m/s风速),≤18s(1m/s风速)
输出信号,无线电跳频信号,无线电跳频信号,无线电跳频信号,无线电跳频信号
传输距离,室内,室内,可穿3~4堵混凝土墙,可穿3~4堵混凝土墙
传输距离,室外,室外,视距大于800米,视距大于800米
时间及日期,内置时钟，实时显示,内置时钟，实时显示,内置时钟，实时显示,内置时钟，实时显示
记录间隔（分钟）,间隔1~65535分钟可调，默认30分钟,间隔1~65535分钟可调，默认30分钟,间隔1~65535分钟可调，默认30分钟,间隔1~65535分钟可调，默认30分钟
记录点数,65535条，若30分钟记录一次，可连续存储4年,65535条，若30分钟记录一次，可连续存储4年,65535条，若30分钟记录一次，可连续存储4年,65535条，若30分钟记录一次，可连续存储4年
记录模式,关闭/打开/自动（可选）,关闭/打开/自动（可选）,关闭/打开/自动（可选）,关闭/打开/自动（可选）
存储模式,自动循环存储,自动循环存储,自动循环存储,自动循环存储
数据导出,485方式连接我司RS-RJ-K平台导出,485方式连接我司RS-RJ-K平台导出,485方式连接我司RS-RJ-K平台导出,485方式连接我司RS-RJ-K平台导出
报警功能,内置蜂鸣器、外延声光报警器、继电器可选,内置蜂鸣器、外延声光报警器、继电器可选,内置蜂鸣器、外延声光报警器、继电器可选,内置蜂鸣器、外延声光报警器、继电器可选


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,公司代号,Unnamed: 7,Unnamed: 8
WS-,,,,,温湿度变送|传感器,,
,DY-,,,,外置电源,外置电源,
,,6-,,,大液晶壳,大液晶壳,大液晶壳
,,,4-,,内置精装探头,内置精装探头,内置精装探头
,,,5-,,外延精装探头,外延精装探头,外延精装探头
,,,6-,,外延防水探头,外延防水探头,外延防水探头
,,,B-,,外延宽温探头,外延宽温探头,外延宽温探头
,,,,空,不带继电器输出（默认）,不带继电器输出（默认）,不带继电器输出（默认）
,,,,R02,带两路继电器输出,带两路继电器输出,带两路继电器输出
