产品网址：http://hi-sensor.com/productinfo/949251.html
产品结构：root->无线电温湿度记录仪-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|无线电温湿度记录仪|无|内置 26 万条缓存，通信断开时自动缓存，通信恢复后自动续传，确保数据连续不丢失；内置蜂鸣器，具有超限报警功能，具有正常记录间隔和告警记录间隔，超限时自动切换，完全满足 GSP 要求；自带液晶屏显示，可显示实时温度值、剩余电量及设备工作状态，可以软件设置定时启用缓存功能，确保只记录有效时间的数据，适用于验证行业。|

设备供电,DC5V供电或内置电池供电,DC5V供电或内置电池供电.1,DC5V供电或内置电池供电.2
缓存容量,最多260000组,最多260000组,最多260000组
测量范围,温度,探头内置型,-20~+60℃
测量范围,温度,探头外延型,-40~+80℃
测量范围,湿度,湿度,0~100%RH
测量精度,温度,普通精度：±0.3℃（25℃）；高精度：±0.1℃（25℃）,普通精度：±0.3℃（25℃）；高精度：±0.1℃（25℃）
测量精度,湿度,"普通精度：±2%RH(60%RH,25℃)  高精度：±1.5%RH(60%RH,25℃)","普通精度：±2%RH(60%RH,25℃)  高精度：±1.5%RH(60%RH,25℃)"
记录间隔,1分钟~18小时可设置，最小单位是分钟,1分钟~18小时可设置，最小单位是分钟,1分钟~18小时可设置，最小单位是分钟
测量更新时间,设备唤醒时2S，低功耗模式5S,设备唤醒时2S，低功耗模式5S,设备唤醒时2S，低功耗模式5S
电池寿命,1次充满电设备可连续工作45天  电池最大循环充放电次数1200次,1次充满电设备可连续工作45天  电池最大循环充放电次数1200次,1次充满电设备可连续工作45天  电池最大循环充放电次数1200次


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,公司代号
WS-,,,,温湿度变送器
,DC-,,,电池供电
,,COS04,,COS04设备
,,,0.0,内置探头
,,,5.0,外延探头
