产品网址：http://hi-sensor.com/productinfo/948976.html
产品结构：root->供暖温湿度变送器-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|供暖温湿度变送器|无|本产品美观大方，体积小巧，通过 NB-IOT 网络上传数据到我司免费云平台或客户自己的服务器。采用进口传感器，温度精度可达±0.2℃，湿度精度可达±2%RH，性能稳定可靠。国标 86mm 尺寸设计，可与用户室内常规插座面板组合安装。主要使用场景为供暖行业用来实时掌握供热室温、为供热平衡调节提供准确的数据支撑。|

供电,220V市电供电,220V市电供电.1,220V市电供电.2
功率,0.008W 0.1W（max）,0.008W 0.1W（max）,0.008W 0.1W（max）
精度,湿度,"±2%RH(60%RH,25℃)","±2%RH(60%RH,25℃)"
精度,温度,±0.2℃（25℃）,±0.2℃（25℃）
电路工作温湿度,-10℃~+60℃，0%RH~95%RH（非结露）,-10℃~+60℃，0%RH~95%RH（非结露）,-10℃~+60℃，0%RH~95%RH（非结露）
探头温度量程,-40℃~+80℃,-40℃~+80℃,-40℃~+80℃
探头湿度量程,0%RH-100%RH,0%RH-100%RH,0%RH-100%RH
长期稳定性,湿度,湿度,≤1%RH/y
长期稳定性,温度,温度,≤0.1℃/y
输出信号,NB-IoT,NB-IoT,NB-IoT
上传数据间隔,默认60min（可修改，最低1min）,默认60min（可修改，最低1min）,默认60min（可修改，最低1min）


Unnamed: 1,Unnamed: 2,Unnamed: 3,公司代号
WS-,,,温湿度变送器
,NB-,,NB-IOT无线通信
,,1N,86组合安装壳体
