产品网址：http://hi-sensor.com/productinfo/949257.html
产品结构：root->车载无线测点温湿度记录仪-武汉森索科技有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|车载无线测点温湿度记录仪|无|采用进口温湿度测量单元，工业级精度，超低功耗，内置电池，充电 4 小时可连续使用 6 个月；无线数据传输，独有的无线通信技术，免布线，与主机通信距离视距离可 600 米可穿透 4 层冷藏车厢；内置蜂鸣报警器，液晶显示实时温度值、湿度值、电池电量、信号强度，强韧耐磨合金塑料结构，抗碰撞、阻燃、防腐蚀、耐高低温、防潮|

供电,内置电池,内置电池.1
充电时间,4小时左右,4小时左右
续航时间,1min采集一次数据可连续工作6个月,1min采集一次数据可连续工作6个月
A准精度,湿度,"±2%RH(60%RH,25℃)"
A准精度,温度,±0.4℃（25℃）
B准精度  （默认）,湿度,"±3%RH(60%RH,25℃)"
B准精度  （默认）,温度,±0.5℃（25℃）
变送器电路工作温度,-25℃~+60℃,-25℃~+60℃
变送器电路工作湿度,0%RH~80%RH,0%RH~80%RH
探头工作温度,-40℃~+80℃,-40℃~+80℃
探头工作湿度,0%RH-100%RH,0%RH-100%RH
长期稳定性,湿度,≤1%RH/y
长期稳定性,温度,≤0.1℃/y
响应时间,湿度,≤8s(1m/s风速)
响应时间,温度,≤25s(1m/s风速)
输出信号,无线电信号,无线电信号
传输距离,室内,最多可穿4层车厢箱体
传输距离,室外,视距最多可达600米


Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,公司代号
YS-,,,,运输
,W-,,,无线
,,A-,,卡片式无线测点
,,,0.0,内置探头
,,,5.0,外延精装探头
