产品网址：https://www.dtc-solutions.cn/product/7171.html#
产品结构：root->小型振动台|腾振科技

|产品名称|产品型号|功能描述|
|----|----|----|
|小型振动台|TENZO 系列|采用自主研发具有先进水平的全数字音频功率放大器，运用数字功率处理技术，既具有线性功放的高保真特点又具有开关功放的高效率优点，功放效率高达 96%。具有输出电流，输出电压等实时信号监测及开机延时、瞬时关机、中点直流偏移和负载短路保护等完善的保护功能。典型应用：振动环境试验、结构阻抗测试、教学试验、结构动态响应测试、振动传感器校准|

Model,TEN-V100,TEN-V200,TEN-V300,TEN-V400,TEN-V500,TEN-V600
峰值推力,100 N,200 N,300 N,400 N,500 N,600 N
最大位移,20 mm,20 mm,20 mm,20 mm,20 mm,20 mm
最大加速度,30 g,50 g,60 g,80 g,90 g,100 g
共振频率（±5%）,5500 Hz,5500 Hz,5200 Hz,5200 Hz,5000 Hz,5000 Hz
频率范围,5~12000 Hz,5~12000 Hz,5~8000 Hz,5~8000 Hz,5~7000 Hz,5~7000 Hz
等效质量,0.4 Kg,0.4 Kg,0.5 Kg,0.5 Kg,0.6 Kg,0.6 Kg
安装螺纹,M6/4-M5@  Φ  35mm，台面直径  Φ50mm,M6/4-M5@  Φ  35mm，台面直径  Φ50mm,M6/4-M5@  Φ  35mm，台面直径  Φ50mm,M6/4-M5@  Φ  35mm，台面直径  Φ50mm,M6/4-M5@  Φ  35mm，台面直径  Φ50mm,M6/4-M5@  Φ  35mm，台面直径  Φ50mm
包装重量,15 Kg,16 Kg,24 Kg,25 Kg,28 Kg,30 Kg
冷却方式,自然,自然,强制风冷,强制风冷,强制风冷,强制风冷
最大承重,0.8,0.8,1.0,1.0,1.2,1.2
功放额定功率,200W,400W,600W,800W,800W,1500W
