产品网址：http://www.san-u.com/product/tocan_1.html
产品结构：root->TO-CAN-厦门三优光电股份有限公司

|产品名称|产品型号|功能描述|
|----|----|----|
|10G OSA|无|无|
|25G OSA|无|无|
|40G/100G|无|无|
|PON BOSA|无|无|
|Pigtailed PD|无|无|
|RFoG BOSA|无|无|
|Mini Series|无|无|
|TO-CAN|无|无|
|10G PIN-TIA TO-CAN|无|无|
|2.5G PIN-TIA TO-CAN|无|无|
|PD300 TO-CAN|无|无|
|PD80 TO-CAN|无|无|
|Mini PD TO-CAN|无|无|
|25G APD-TIA TO-CAN|无|无|
|25G PIN-TIA TO-CAN|无|无|
|TO46 VCSEL TO-CAN|无|无|
|1.25G PIN-TIA TO-CAN|无|无|
|APD-TIA TO-CAN|无|无|
|LD TO-CAN|无|无|
|PD60 TO-CAN|无|无|
