产品网址：http://www.znwdz.com/productinfo/272387.html
产品结构：root->场效应管TO-252封装-厦门中能微电子有限公司-凯茂半导体（厦门）有限公司官网

|产品名称|产品型号|功能描述|
|----|----|----|
|场效应管|TO-252 封装|无|

TYPENO.,PACKAGE,ID(A,VDSS(V),RDS(on)(Ω),VGS(th)(V),CISS(pf),Download
KM2N60D,TO-252,2,600,3.3,2-4,310.0,Datasheet
KM2N65D,TO-252,2,650,3.8,2-4,310.0,Datasheet
KM4N60D,TO-252,4,600,1.9,2-4,,Datasheet
KM4N65D,TO-252,4,650,2.3,2-4,,Datasheet
KM4N70D,TO-252,4,700,2.7,2-4,,Datasheet
KM4N80D,TO-252,4,800,3.0,2-4,,Datasheet
KM4N90D,TO-252,4,900,3.3,2-4,,Datasheet
KM5N50D,TO-252,5,500,1.4,2-4,,Datasheet
KM6N40D,TO-252,6,400,0.95,2-4,,Datasheet
KM8N60D,TO-252,7,600,1.0,2-4,1192.0,Datasheet
KM7N65D,TO-252,7,650,1.15,2-4,1192.0,Datasheet
KM7N70D,TO-252,7,700,1.35,2-4,1192.0,Datasheet
KM8N50D,TO-252,8,500,0.68,2-4,1192.0,Datasheet
KM8N65D,TO-252,8,650,1.1,2-4,1192.0,Datasheet
KM10N40D,TO-252,10,400,0.48,2-4,1192.0,Datasheet
KM10N45D,TO-252,10,450,0.53,2-4,1192.0,Datasheet
KM12N40,TO-252,12,400,0.35,2-4,1940.0,Datasheet
KM50N06D,TO-252,50,60,0.022,2-4,1300.0,Datasheet
KM80N03D,TO-252,80,30,0.0049,2-4,2203.0,Datasheet
KM90N03D,TO-252,90,30,0.0037,2-4,2203.0,Datasheet
KM150N03D,TO-252,150,30,0.0031,2-4,4403.0,Datasheet
