产品网址：http://www.znwdz.com/productinfo/272242.html
产品结构：root->场效应管TO-220F封装-厦门中能微电子有限公司-凯茂半导体（厦门）有限公司官网

|产品名称|产品型号|功能描述|
|----|----|----|
|场效应管|TO-220F 封装|无|

TYPENO.,PACKAGE,ID(A),VDSS(V),RDS(on)(Ω),VGS(th)(V),CISS(pf),Download
KM2N60F,TO-220F,2,600,3.3,2-4,310.0,Datasheet
M2N65F,TO-220F,2,650,3.8,2-4,310.0,Datasheet
KM4N60F,TO-220F,4,600,1.9,2-4,,Datasheet
KM4N65F,TO-220F,4,650,2.3,2-4,,Datasheet
KM4N70F,TO-220F,4,700,2.7,2-4,,Datasheet
KM4N80F,TO-220F,4,800,3.0,2-4,,Datasheet
KM4N90F,TO-220F,4,900,3.3,2-4,,Datasheet
KM5N50F,TO-220F,5,500,1.4,2-4,,Datasheet
KM6N40F,TO-220F,6,400,0.95,2-4,,Datasheet
KM7N60F,TO-220F,7,600,1.0,2-4,1192.0,Datasheet
KM7N65F,TO-220F,7,650,1.15,2-4,1192.0,Datasheet
KM7N70F,TO-220F,7,700,1.35,2-4,1192.0,Datasheet
KM7N80F,TO-220F,7,800,1.35,2-4,1192.0,Datasheet
KM8N50F,TO-220F,8,500,0.68,2-4,1192.0,Datasheet
KM8N65F,TO-220F,8,650,1.1,2-4,1192.0,Datasheet
KM9N90F,TO-220F,9,900,1.18,2-4,1579.0,Datasheet
KM10N40F,TO-220F,10,400,0.48,2-4,1192.0,Datasheet
KM10N45F,TO-220F,10,450,0.53,2-4,1192.0,Datasheet
KM10N60F,TO-220F,10,600,0.63,2-4,1940.0,Datasheet
KM10N65F,TO-220F,10,650,0.7,2-4,1940.0,Datasheet
KM10N70F,TO-220F,10,700,0.95,2-4,1940.0,Datasheet
KM10N80F,TO-220F,10,800,0.8,2-4,1940.0,Datasheet
KM12N40F,TO-220F,12,400,0.35,2-4,1940.0,Datasheet
KM12N45F,TO-220F,12,450,0.38,2-4,1940.0,Datasheet
KM12N60F,TO-220F,12,600,0.53,2-4,1470.0,Datasheet
KM12N65F,TO-220F,12,650,0.6,2-4,1476.0,Datasheet
KM12N70F,TO-220F,12,700,0.84,2-4,1489.0,Datasheet
KM13N50F,TO-220F,13,500,0.45,2-4,1630.0,Datasheet
KM14N50F,TO-220F,14,500,0.38,2-4,1940.0,Datasheet
KM15N50F,TO-220F,15,500,0.34,2-4,2450.0,Datasheet
KM15N60F,TO-220F,15,600,0.39,2-4,2600.0,Datasheet
KM15N65F,TO-220F,15,650,0.45,2-4,2100.0,Datasheet
KM18N50F,TO-220F,18,500,0.32,2-4,2300.0,Datasheet
KM20N60F,TO-220F,20,600,0.35,2-4,2708.0,Datasheet
KM20N65F,TO-220F,20,650,0.37,2-4,2812.0,Datasheet
KM50N06F,TO-220F,50,60,0.022,2-4,1376.0,Datasheet
KM75N75F,TO-220F,75,75,0.011,2-4,2728.0,Datasheet
KM100N08F,TO-220F,100,80,0.006,2-4,3700.0,Datasheet
KM120N85F,TO-220F,120,85,0.0046,2-4,3750.0,Datasheet
