产品网址：http://www.zjgst.com/products_cont_540.html
产品结构：root->江苏东方四通科技股份有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|ST 系列直流脉冲电源|ST-Series DC & Pulse Power Supply|主要应用于直流溅射镀膜领域，以其优良的控制算法，能够提供稳定可靠的持续输出，并对功率、电压、电流、频率和脉冲时间等提供精确的输出控制|

型号,ST-2010,ST-2010L,ST-2020L
输入参数,,,
输入电压,"400V - 480V±10%(3 + PE,No Neutral)","400V - 480V±10%(3 + PE,No Neutral)","400V - 480V±10%(3 + PE,No Neutral)"
输入频率,50/ 60Hz(45-65)Hz,50/ 60Hz(45-65)Hz,50/ 60Hz(45-65)Hz
最大输入电流,3x25A,3x25A,3x50A
输出参数,,,
额定输出功率,10kW,10kW,20kW
电压范围,0-1000v,0-500v,0-500v
电流范围,0-25A,0-40A,0-80A
脉冲频率,"0, 2-100kHz","0, 2-100kHz","0, 2-100kHz"
脉冲时间,5-495 us,5-495 us,5-495 us
反向电压范围,0-100V,0-100V,0-100V
工作模式,功率、电压、电流,功率、电压、电流,功率、电压、电流
输出精度,±0.5%,±0.5%,±0.5%
重复精度,±0.2%,±0.2%,±0.2%
接口参数,,,
LCD,支持,支持,支持
RS232,支持,支持,支持
PROFIBUS/RS485,支持,支持,支持
Ether CAT,支持,支持,支持
模拟量输入,支持,支持,支持
ARC检测,,,
Imax/U＆l恢复时间,1-100ms,1-100ms,1-100ms
Imax电流范围,10-130%In,10-130%In,10-130%In
U＆/电压范围,0-90%Un,0-90%Un,0-90%Un
U＆l/电流范围,5-100%In,5-100%In,5-100%In
DU恢复时间,10-1000us,10-1000us,10-1000us
DU电压范围,10-90%Un,10-90%Un,10-90%Un
ARC能量,<0.3 mJ/kw,<0.3 mJ/kw,<0.3 mJ/kw
ARC处理时向,<100ns,<100ns,<100ns
点火,,,
主动点火电压,1250V,625V,625V
被动点火电压,1000v,500V,500V
环境,,,
工作环境温度,+5°C~+45°  C,+5°C~+45°  C,+5°C~+45°  C
存储环温度,-25°  C  ~+55°  C,-25°  C  ~+55°  C,-25°  C  ~+55°  C
相对湿度,5-85%无冷凝,5-85%无冷凝,5-85%无冷凝
气压,86-106kPa,86-106kPa,86-106kPa
其他,,,
防护等级,IP40,IP40,IP40
外形尺寸(WxHxL),480mm x 178mm x 730mm,480mm x 178mm x 730mm,480mm x 356mm x 730mm
重量,60kg,75kg,75kg
效率,>90%,>90%,>90%
冷却方式,水冷,水冷,水冷
