产品网址：http://www.lichiwei.com/product.php?id=15
产品结构：您现在的位置：首页->产品中心->锂电池管理芯片->充电管理芯片

|产品名称|产品型号|功能描述|
|--|--|--|
|充电管理芯片|无|无|

型号,电路拓扑,输入电压,输入耐压,充满电压,充电电流,电池节数,NTC,OVP,充电状态,封装形式
型号,电路拓扑,V,V,V,A,电池节数,NTC,OVP,充电状态,封装形式
LC4031-A,Buck,4.5-18,26,3.7,3,1,Yes,Yes,单灯,ESOP8
LC4031-B,Buck,4.5-18,26,4.2,3,1,Yes,Yes,单灯,ESOP8
LC4031-C,Buck,4.5-18,26,4.3,3,1,Yes,Yes,单灯,ESOP8
LC4031-D,Buck,4.5-18,26,4.4,3,1,Yes,Yes,单灯,ESOP8
LC4032-A,Buck,14.5-18,26,7.4,3.5,2,Yes,Yes,单灯,QFN3X3-16
LC4032-B,Buck,14.5-18,26,8.4,3.5,2,Yes,Yes,单灯,QFN3X3-16
LC4032-C,Buck,14.5-18,26,8.6,3.5,2,Yes,Yes,单灯,QFN3X3-16
LC4032-D,Buck,14.5-18,26,8.8,3.5,2,Yes,Yes,单灯,QFN3X3-16
LC4033-A,Buck,14.5-18,26,11.1,2,3,Yes,Yes,单灯,QFN3X3-16
LC4033-B,Buck,14.5-18,26,12.6,2,3,Yes,Yes,单灯,QFN3X3-16
LC4033-C,Buck,14.5-18,26,12.9,2,3,Yes,Yes,单灯,QFN3X3-16
LC4033-D,Buck,14.5-18,26,13.2,2,3,Yes,Yes,单灯,QFN3X3-16
LC4011-A,线性,4.5～6,7,3.7,0.2,1,NO,6.5V,双灯,DFN2*2-8
LC4011-B,线性,4.5～6,7,4.2,0.2,1,NO,6.5V,双灯,DFN2*2-8
LC4011-C,线性,4.5～6,7,4.3,0.2,1,NO,6.5V,双灯,DFN2*2-8
LC4011-D,线性,4.5～6,7,4.4,0.2,1,NO,6.5V,双灯,DFN2*2-8
LC4054-A,线性,4.5～6,7,3.7,0.6,1,NO,6.5V,单灯,SOT23-5
LC4054-B,线性,4.5～6,7,4.2,0.6,1,NO,6.5V,单灯,SOT23-5
LC4054-C,线性,4.5～6,7,4.3,0.6,1,NO,6.5V,单灯,SOT23-5
LC4054-D,线性,4.5～6,7,4.4,0.6,1,NO,6.5V,单灯,SOT23-5
LC4056-A,线性,4.5～6,7,3.7,1.0,1,NO,6.5V,双灯,ESOP8
LC4056-B,线性,4.5～6,7,4.2,1.0,1,NO,6.5V,双灯,ESOP8
LC4056-C,线性,4.5～6,7,4.3,1.0,1,NO,6.5V,双灯,ESOP8
LC4056-D,线性,4.5～6,7,4.4,1.0,1,NO,6.5V,双灯,ESOP8
LC4056D-A,线性,4.5～6,7,3.7,0.8,1,NO,6.5V,双灯,DFN2*2-8
LC4056D-B,线性,4.5～6,7,4.2,0.8,1,NO,6.5V,双灯,DFN2*2-8
LC4056D-C,线性,4.5～6,7,4.3,0.8,1,NO,6.5V,双灯,DFN2*2-8
LC4056D-D,线性,4.5～6,7,4.4,0.8,1,NO,6.5V,双灯,DFN2*2-8
