产品网址：http://www.lichiwei.com/product.php?id=8
产品结构：您现在的位置：首页->产品中心->电源驱动芯片->AC/DC隔非离高PF芯片

|产品名称|产品型号|功能描述|
|----|----|----|
|AC/DC 隔非离高 PF 芯片|无|无|

IC型号,电路拓扑,功率因数,高压功率管,高压功率管.1,功率(W),功率(W).1,OTP(℃),封装形式
IC型号,电路拓扑,功率因数,BVDSS (V),'RDS(on) (Ω),100-264Vac,175-264Vac,OTP(℃),封装形式
LC6551,实地Buck CCM模式,0.5,500,9,,18,130,SOP7
LC6551A,实地Buck CCM模式,0.5,500,12,,18,130,SOP7
LC6553,实地Buck CCM模式,0.5,500,4.2,,36,13,SOP7
LC6554,实地Buck CCM模式,0.5,500,2.2,,50,130,SOP7
LC6650A,实地Buck QR模式,0.5,,,50,100,,SOP7
LC6652,实地Buck QR模式,0.5,500,5.5,15,24,140,SOP7
LC6653,实地Buck QR模式,0.5,500,3.8,18,30,140,SOP7
LC6654,实地Buck QR模式,0.5,500,3,24,36,140,SOP7
LC6655D,实地Buck QR模式,0.5,500,3.8,24,36,140,DIP7
LC6656,实地Buck QR模式,0.5,500,3,36,50,140,DIP7
LC6658,实地Buck QR模式,0.5,500,1.7,40,75,140,DIP7
LC6658L,实地Buck QR模式,0.5,500,1.7,40,75,120,DIP7
LC6658T,实地Buck QR模式,0.5,500,1.7,40,75,115,DIP7
LC6832S,实地Buck QR模式,0.5,500,3.8,,36,140,SOP7
LC6833,实地Buck QR模式,0.5,500,2.7,36,50,140,DIP7
