产品网址：http://www.szyxsc.com/?product_2_2
产品结构：root->产品中心-深圳市友芯电子商务有限公司-电解电容器薄膜电容器超级电容器

|产品名称|产品型号|功能描述|
|----|----|----|
|Yadacon 超快充锂离子电池电容器|2.7V100000F(15AH)|无|
|厦门法拉 C66H2A00J202700 薄膜电容|500v133uF|电力电容|
|厦门法拉 C66H2107J102700 薄膜电容|500v100uF|电力电容|
|厦门法拉 C66R1407J602700 薄膜电容|330v400uF|电力电容|
|胜业电容器 FFC SY 500-133-1 薄膜电容|500v133uF|电力电容|
|胜业电容器 FFC SY 300-200-1 薄膜电容|300v 1×200uF|电力电容|
|EPCOS 薄膜电容|B25620-B1337-J101、B25620-S1337-J101|1100v330uF|
|日本黑金刚牛角电容 KMH 29YA4M|电解电容 450v150uf 22*50mm|无|
|美国 CDE SMP66A1255Y3D、SMS66A1755Y3C|660vac 12.5uf、17.5uf|无|
|NIPPON CHEMI-CON 日本黑金刚铝电解电容 36D|450v8800uF U36D|螺栓型|
|雅达康 Yadacon 铝电解电容器 CD136|200v6800uF|现货供应，各种尺寸定制|
|美国 VISHAY 薄膜电容器|250V 200，00uF PhMKPg 250-200 IBR E135098|无|
