产品网址：https://www.j2semi.com/productinfo/2350713.html
产品结构：root->SiC（碳化硅）肖特基二极管-杰平方半导体(上海)有限公司

|产品名称|产品型号|功能描述|
|--|--|--|
|SiC（碳化硅）肖特基二极管|无|无|

Serial,P/N,V  RRM,I  F,V  F  （V）,T  JMAX,Qc,Package,Sheet
Serial,P/N,（V）,(A),T  J  =25℃,(℃),（nC）,Package,Sheet
1,JPS120002A20I,1200,2,1.4,175,11,TO-220-2L,
2,JPS120002E20I,1200,2,1.4,175,11,TO-252-2L,
3,JPS120005A20I,1200,5,1.45,175,24,TO-220-2L,
4,JPS120005E20I,1200,5,1.45,175,24,TO-252-2L,
5,JPS120010A20I,1200,10,1.45,175,50,TO-220-2L,
6,JPS120010B20I,1200,10,1.45,175,50,TO-247-2L,
7,JPS120015C30I,1200,15,1.45,175,78,TO-263,
8,JPS120015B20I,1200,15,1.45,175,78,TO-247-2L,
9,JPS120020B30I,1200,20,1.45,175,100,TO-247-3L,
10,JPS120020B20I,1200,20,1.45,175,95,TO-247-2L,
11,JPS120030B30I,1200,30,1.45,175,156,TO-247-3L,
12,JPS120040B30I,1200,40,1.45,175,190,TO-247-3L,
13,JPS120040B20I,1200,40,1.45,175,226,TO-247-2L,
14,JPS120050B20I,1200,50,1.45,175,247,TO-247-2L,
