产品网址：http://doc.weihong.com.cn:8889/zh-cn/doc/landing_download_pages/index.html
产品结构：root->产品文档

|产品名称|产品型号|功能描述|
|--|--|--|
|平面坡口|LS20A|无|
|中低功率系统|LS2000M|无|
|中功率系统|LS3000|无|
|中高功率系统|LS4000M|无|
|高功率系统|LS6000M|无|
|双头双梁卷料|LS6500A|无|
|双头双梁高功率|LS6800M|无|
|精密视觉定位系统|LS8000M|无|
|小功率系统|LS1500|无|
|单卡拉料|TU2000|无|
|专业切管系统-双卡盘|TU3200M|无|
|专业切管系统-四卡盘|TU7500|无|
|板管一体系统|LT3000|无|
|平面独立套料软件|WiseCAM|无|
|管切独立套料软件|WiseCAM Tube|无|
|管切独立套料软件|WiseCAM Tube Basic|无|
|配套硬件|无|无|
|开料机数控系统|无|无|
|贴标数控系统|无|无|
|贴标开料数控系统|无|无|
|门套机贴标开料数控系统|无|无|
|中控|无|无|
|七轴六面钻数控系统|无|无|
|九轴六面钻数控系统|无|无|
|石材加工中心数控系统|无|无|
|三轴雕刻数控系统|无|无|
|四轴雕刻数控系统|无|无|
|CCD 雕刻数控系统|无|无|
|NK105 三轴集成数控系统|无|无|
|NK105 四轴集成数控系统|无|无|
|NK280B 集成数控系统|无|无|
|NK300CX 集成数控系统|无|无|
|三轴水切割数控系统|无|无|
|五轴 AB 水切割数控系统|无|无|
|五轴 AC 水切割数控系统|无|无|
|两轴玻璃切割数控系统|无|无|
|四轴玻璃切割数控系统|无|无|
|CCD 玻璃切割数控系统|无|无|
|NK300CX 集成数控|无|无|
|V9 大玻璃磨边数控系统|PM95A|无|
|NK280B 双头总线集成数控|无|无|
|V12 单 CCD 数控系统|NC65C|无|
|NK300CX 多通道集成数控|无|无|
|V12 双 CCD 数控系统|PM95A|无|
|V10 四轴及三轴双 Z 雕铣数控系统|PM95A|无|
|V10 三轴及三轴双 Z 雕铣数控系统|PM95A|无|
|NK280B GD60 磨刀机集成数控|无|无|
|V9 义齿机数控系统|NC65C|无|
|Phoenix 雕刻数控系统|NC65C|无|
|NK300CX 鞋模机集成数控|无|无|
|NK280B 外圆磨床集成数控|无|无|
|NK530M 集成数控|无|无|
|NK210T 车床集成数控系统|无|无|
|维智 A 系列伺服|M-Ⅱ总线型|无|
|维智 A 系列伺服|EtherCAT 总线型|无|
|维智 A 系列伺服|模拟量﹒脉冲型|无|
|维智 A2 系列伺服|M-Ⅱ总线型|无|
|维智 B1 系列伺服|EtherCAT 总线型|无|
|维智 B1 系列伺服|脉冲型|无|
|维智朗驱多轴|M-Ⅱ总线型|无|
|维智朗驱多轴|EtherCAT 总线型|无|
|维智 Mini 多轴伺服|EtherCAT 总线型|无|
|维智 A 系列直线伺服|M-Ⅱ总线型|无|
|维智 A 系列直线伺服|EtherCAT 总线型|无|
|维智 A 系列直线伺服|脉冲型|无|
|维智主轴伺服|M-Ⅱ总线型|无|
|维智主轴伺服|EtherCAT 总线型|无|
|维智主轴伺服|模拟量﹒脉冲型|无|
|VT1000A1|无|无|
|VT310E|无|无|
|VT320E|无|无|
|运动控制卡|无|无|
|工控机|无|无|
|一体机|无|无|
|朗达控制器|无|无|
|扩展端子板|无|无|
|NcGateway 数据网关|无|无|
|NcCloud 维宏云|无|无|
|xFactory 智能工厂|无|无|
|NcStudio 编程|无|无|
|Phoenix 平台二次开发|无|无|
|注册管理工具|无|无|
